state,county,RUCC_2013,Description
Arizona,Apache,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arizona,Cochise,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arizona,Coconino,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arizona,Gila,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Arizona,Graham,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arizona,Greenlee,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arizona,La Paz,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arizona,Maricopa,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Arizona,Mohave,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arizona,Navajo,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Arizona,Pima,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arizona,Pinal,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Arizona,Santa Cruz,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Arizona,Yavapai,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arizona,Yuma,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Arkansas,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Ashley,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Baxter,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Benton,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Boone,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Bradley,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Calhoun,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Carroll,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Chicot,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Clark,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Clay,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Cleburne,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Cleveland,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Columbia,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Arkansas,Conway,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Craighead,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Crawford,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Crittenden,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Arkansas,Cross,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Dallas,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Desha,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Drew,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Faulkner,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Franklin,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Arkansas,Fulton,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Arkansas,Garland,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Arkansas,Grant,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Arkansas,Greene,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
