city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Marana,Arizona,2127.66,2074.26,53.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangs,Texas,1187.30,1068.11,119.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead-City,North-Carolina,,,140.45,1983.78,1838.34,,,285.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minot,North-Dakota,2311.89,2018.51,351.10,,,,,57.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asheville,North-Carolina,1274.91,1120.04,906.12,,,,,751.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,Ohio,278.36,210.07,68.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,Delaware,4373.20,4223.43,249.75,,,377.62,869.94,99.96,,,492.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit,Michigan,4758.59,4305.53,558.71,,,,,120.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln-Park,Michigan,327.66,318.85,33.45,,,,,24.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catasauqua,Pennsylvania,,,737.08,2473.41,743.14,,,2467.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh,North-Carolina,3544.53,3363.15,181.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Orleans,Louisiana,,,3.01,5788.52,5785.35,18.90,71.94,6.18,,,53.04,,,3.01,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greeneville,Tennessee,,1438.79,36.60,,1475.39,112.69,,,,,1691.36,,1804.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt-Lake-City,Utah,8261.13,8177.07,196.44,,,,,112.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsdale,Illinois,162.38,120.79,41.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,Florida,5451.27,5428.57,171.74,,,69.29,3359.45,20.06,,,3290.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Washington,1970.21,1892.71,143.51,,,,,66.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood-Park,Illinois,1036.60,997.22,39.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave-Junction,Oregon,1360.65,1328.78,31.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evanston,Illinois,5361.67,5296.52,542.62,,,,,477.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duluth,Minnesota,1860.50,1662.90,259.28,,,1.81,20.56,61.69,,,18.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crete,Illinois,,,33.15,283.44,257.51,,,59.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watertown,South-Dakota,2986.52,2797.65,188.82,,,23.99,116.49,,,,92.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decherd,Tennessee,773.94,680.30,93.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne-Beach,Florida,1213.77,1147.06,66.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,New-Jersey,2485.83,2370.37,178.88,,,23.10,99.67,63.43,,,76.57,,,341.59,324.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlin,Texas,2639.78,2639.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullman,Alabama,10140.08,8477.30,1662.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,Arkansas,242.04,228.12,13.91,,,19.80,238.16,,,,218.22,,,14.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,Ohio,39.83,34.15,15.67,,,,,9.99,113.56,88.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allentown,Pennsylvania,809.78,780.86,141.55,,,,,112.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinsville,Virginia,1169.03,1051.54,117.49,,,15.21,121.71,,,,106.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Worth,Texas,1629.62,1413.59,216.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millville,New-Jersey,922.68,805.89,116.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,Colorado,1100.69,987.94,112.75,,,30.63,30.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State-College,Pennsylvania,861.84,804.03,57.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagstaff,Arizona,,,356.93,1592.85,1527.41,,,422.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,North-Carolina,2238.95,2115.23,123.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Oregon,,,165.35,4815.68,2968.35,,,2012.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Lake-Tahoe,California,6587.06,6299.00,819.53,,,,,531.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,Florida,8142.54,7780.20,715.35,,,224.51,1457.54,290.92,9.96,,1233.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Wisconsin,,,306.38,2599.49,2506.47,7.41,983.82,399.40,,,976.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynne,Arkansas,81.17,25.68,55.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waco,Texas,1935.98,1813.49,122.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Kentucky,555.39,516.45,38.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsport,Pennsylvania,,766.20,,,799.51,,,847.19,,,,,,,,,880.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greencastle,Indiana,,,,108.86,108.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast,Maine,1088.04,989.52,98.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laramie,Wyoming,713.70,351.07,497.94,,,14.22,18.31,135.34,,,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moundsville,West-Virginia,2027.27,1946.32,80.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-City,Florida,,,667.42,3458.47,3363.83,,,772.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfside-Beach,South-Carolina,64.75,48.40,16.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin-Park,Illinois,,,693.60,8633.86,8502.92,,,824.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefield,Virginia,1113.50,1046.52,66.98,,,34.32,580.53,,,,546.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland,Washington,,,506.07,3471.33,3375.97,,,601.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christiansburg,Virginia,585.59,550.30,35.29,,,46.99,275.89,,,,228.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Ohio,736.09,681.69,54.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-Charles,Louisiana,724.58,463.00,261.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurens,South-Carolina,435.53,399.25,43.28,,,,,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita,Kansas,,2051.49,553.79,,2605.28,1357.01,,,,,2172.87,,3529.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbondale,Illinois,2871.91,2535.70,391.90,,,,,55.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Indiana,3362.62,3311.22,51.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niceville,Florida,1041.01,965.06,59.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianola,Mississippi,997.57,789.97,207.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chino-Valley,Arizona,1755.23,1719.35,35.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand-Junction,Colorado,1397.71,1397.50,186.72,,,,50.32,186.53,,,50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springdale,Arkansas,1506.00,1336.35,169.66,,,,930.23,,,,930.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayville,Illinois,,,51.12,2239.62,1249.20,,,1041.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naperville,Illinois,1040.76,985.22,102.56,,,,,47.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,Oklahoma,4438.54,4314.30,144.49,,,,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,North-Carolina,1271.15,1158.71,285.08,,,,,172.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneseo,Illinois,,,859.89,3150.73,2966.90,,,1043.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,Tennessee,4557.62,4273.51,284.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walla-Walla,Washington,2111.82,2071.73,319.48,,,,,279.39,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richardson,Texas,2346.02,2278.70,280.88,,,,,213.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell,Texas,,,,219.16,210.59,,210.59,8.56,,,219.16,8.56,,8.56,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence,Missouri,3983.78,3784.11,199.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topeka,Kansas,2890.98,2460.43,430.56,,,19.40,238.05,,,,218.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,Missouri,1278.53,1141.17,137.36,,,,,,,,,,,96.79,84.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Tennessee,,,,,,8.19,,,,,73.52,,81.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brea,California,1791.52,1737.95,53.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,Tennessee,2066.40,1715.05,351.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,Texas,7953.42,7909.60,265.54,,,4.82,125.15,221.71,43.57,20.95,120.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamestown,North-Dakota,,,241.85,3134.31,2673.50,,,702.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse-City,Michigan,951.71,841.15,110.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Arkansas,,,5145.81,6924.02,6555.87,,,5513.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Louis,Missouri,6328.99,5402.87,1269.89,,,,,343.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Oklahoma,377.28,193.28,184.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux-City,Iowa,,,426.08,3259.42,3096.47,,,589.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steeleville,Illinois,1749.61,1688.31,76.88,,,,,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont,West-Virginia,2595.23,2440.61,154.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Oregon,1353.17,1263.78,132.55,,,,,43.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eau-Claire,Wisconsin,,,279.99,2332.80,2303.20,,,309.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocatello,Idaho,706.25,654.36,150.70,,,,,98.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-Branch,New-Jersey,2026.49,1864.49,162.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absecon,New-Jersey,478.23,385.80,92.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett,Illinois,1913.99,1730.53,257.98,,,,,74.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Habra,California,1861.65,1637.38,247.90,,,,,23.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucumcari,New-Mexico,1591.33,1517.98,73.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,New-Mexico,,569.97,,,569.97,,,,,,5701.74,,5701.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belleville,Illinois,1822.26,1748.91,73.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallahassee,Florida,5609.42,5239.59,354.95,,,30.85,1929.56,,,,1913.11,14.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Luis,Arizona,3921.79,3771.84,149.95,,,120.94,2015.07,,,,1894.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloxi,Mississippi,2213.45,1973.12,645.31,,,15.67,203.09,404.98,,,401.65,214.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth-or-Consequences,New-Mexico,1365.37,1247.87,117.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak-Grove,Missouri,1727.42,1570.36,157.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie,Maryland,224.75,205.65,19.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,Texas,344.10,300.24,43.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,Nevada,674.31,619.22,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,Illinois,421.88,346.88,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texarkana,Texas,1590.74,1494.51,96.24,,,4.41,40.06,,,,35.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean-City,Maryland,,,1415.03,16699.60,14058.47,,,4056.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,Ohio,,,92.07,735.17,595.88,86.91,489.89,231.44,,,402.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collinsville,Illinois,1691.54,1619.80,166.63,,,,,94.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerville,Georgia,253.55,150.30,103.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Hill,South-Carolina,3828.87,3769.88,201.23,,,,,142.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdese,North-Carolina,,,50.23,529.41,527.38,,,52.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titusville,Florida,882.63,809.38,76.30,,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Ohio,,,568.28,4931.25,4779.62,,,719.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Bernardino,California,549.21,526.66,22.54,,,,11.91,,,,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma,Washington,8232.64,8142.00,1602.51,,,,,1511.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskogee,Oklahoma,,194.92,700.91,,895.83,146.28,,,,,760.35,,906.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadron,Nebraska,1921.66,1761.83,248.34,,,,,88.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlsbad,New-Mexico,1743.88,1703.22,40.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Oregon,1464.69,1350.74,165.03,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Illinois,4987.45,4872.13,240.61,,,172.75,245.31,125.29,,,72.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-City,New-Jersey,,,502.90,9454.97,6298.25,,,3659.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott-Valley,Arizona,,,163.26,1767.67,1469.78,,,461.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,California,5733.26,5477.17,324.13,,,0.57,30.01,68.04,,,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,Georgia,1949.36,1818.83,714.47,,,,,584.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Michigan,961.08,893.43,84.04,,,,,16.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown,Ohio,131.74,116.38,15.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Texas,122.85,107.19,15.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildwood,New-Jersey,8202.51,7812.45,699.27,,,,,309.22,,,,,,3532.34,1912.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attleboro,Massachusetts,,,167.30,1185.22,1061.17,,,291.35,265.34,143.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansboro,North-Carolina,409.09,370.51,38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longview,Texas,855.86,615.02,240.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,Maine,2670.11,2628.71,255.87,,,,,214.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Cruces,New-Mexico,1398.70,1322.22,173.96,,,,,97.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine,California,,3647.49,102.13,,,183.81,3712.18,,,,3528.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3749.62,,,,,,,
Somerdale,New-Jersey,1442.58,1401.31,41.26,,,,,,925.69,372.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin-Rapids,Wisconsin,,,187.56,2210.96,2142.19,,,256.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-Orion,Michigan,,,24.15,361.56,307.93,,,77.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Bedford,Massachusetts,,,192.68,2217.63,2184.27,,,226.03,374.33,213.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Plainfield,New-Jersey,1972.06,197.20,1774.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,Ohio,,,790.22,5195.06,4631.26,,,1354.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Berlin,Illinois,187.55,140.29,47.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tye,Texas,333.83,280.57,53.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,Tennessee,3339.49,3233.66,241.75,,,28.04,525.47,135.91,,,497.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medford,Oregon,,1099.11,31.15,,1130.26,,,,,,5311.27,,5311.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa-City,Iowa,1329.38,1263.69,225.34,,,73.27,375.47,159.66,8.82,6.32,302.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-Angeles,Washington,4855.26,4704.14,327.35,,,,,176.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick,Maryland,2850.13,2721.68,207.35,,,,,78.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Massachusetts,1305.48,1185.40,120.08,,,,,,,,,,,47.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-Bank,New-Jersey,2010.45,1735.33,275.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy,Illinois,384.37,332.17,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassboro,New-Jersey,1735.07,1348.68,386.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterville,Maine,2075.55,1951.32,124.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulfport,Mississippi,2468.21,2166.03,364.56,,,,,62.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergenfield,New-Jersey,120.25,99.68,20.57,,,,,,,,,,,226.81,202.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicopee,Massachusetts,3199.94,3025.40,220.13,,,,,45.59,,,,,,317.11,63.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Charleston,West-Virginia,,,185.94,681.08,287.62,61.43,61.43,579.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson-City,Nevada,3234.35,2962.07,272.28,,,53.65,1719.28,,,,1665.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,Georgia,,,,242.50,225.07,,,17.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council-Bluffs,Iowa,,,295.97,1664.61,1407.80,18.98,40.21,552.75,,,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,Virginia,,,164.04,2519.07,2272.32,5.78,26.81,410.79,,,21.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Grande,Oregon,,,,394.59,394.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras,Oregon,,,,2654.09,2654.09,,,,,,,,,43.26,35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterbury,Connecticut,,,363.70,4214.02,3980.08,,,597.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Maine,,,381.18,6575.75,6243.49,,,713.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson-City,Tennessee,3768.77,2438.91,1329.85,,,,1950.12,,,,1950.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easthampton,Massachusetts,999.26,912.40,86.87,,,,,,,,,,,102.61,42.27,,,576.45,,525.30,,,,,,,,,,,,,,,,,,,,,51.15,219.00,202.46,97.46,80.86,16.60,16.54
Georgetown,Delaware,,,148.35,1862.22,1710.56,,,300.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovis,New-Mexico,542.79,505.81,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,California,394.72,371.79,22.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,Hawaii,,,1730.84,15812.75,13933.46,,,3610.13,,,,,,266.88,213.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinth,Mississippi,10363.11,9932.56,430.49,,,,,,,,,,,153.05,150.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lufkin,Texas,,1616.17,398.19,,1755.09,52.25,,259.27,,,2907.83,,2960.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
