city,state,White alone,Two or more races,Hispanic,Black alone,Asian alone,American Indian alone,Other race alone,Native Hawaiian and OtherPacific Islander alone
Danbury,Connecticut,51.4,2.0,29.2,10.6,6.1,0.2,0.5,
Oakland,Tennessee,88.2,1.2,1.8,8.1,0.3,,,
La-Crosse,Wisconsin,88.1,2.1,2.3,2.4,4.1,0.6,0.09,0.03
Rehoboth-Beach,Delaware,95.9,,2.5,0.5,0.6,,0.4,
Douglas,Arizona,14.6,0.9,77.5,5.2,0.02,0.5,1.1,0.04
Taos,New-Mexico,50.5,2.5,39.6,0.2,0.3,5.5,0.9,
Salisbury,Maryland,45.7,3.0,5.4,40.8,4.4,0.4,0.07,0.06
Fort-Lauderdale,Florida,44.4,1.4,19.3,31.8,1.7,0.1,0.3,0.06
Bloomingdale,Illinois,69.2,1.5,10.6,4.4,14.0,0.2,0.06,0.08
Cincinnati,Ohio,47.8,3.8,4.1,42.3,2.1,0.06,0.09,0.06
Waukesha,Wisconsin,78.3,1.9,13.4,3.4,2.9,0.1,0.06,0.2
Springfield,Illinois,70.4,3.3,2.8,19.6,3.1,0.07,0.2,0.04
Carol-Stream,Illinois,56.4,1.4,15.9,6.8,19.6,,0.4,
Rock-Island,Illinois,61.3,3.3,11.3,19.1,4.2,0.3,0.1,0.1
Early,Texas,75.0,3.3,6.5,1.9,2.2,,,
Decatur,Alabama,60.5,2.6,14.1,22.6,0.4,0.2,0.1,
Winfield,Illinois,88.9,1.6,3.7,0.7,4.5,0.05,,
Charlottesville,Virginia,64.9,2.6,5.7,18.9,7.3,0.2,0.1,0.05
Jackson,Ohio,90.2,3.5,3.5,2.4,,,,
West-Memphis,Arkansas,35.2,4.6,1.5,58.4,0.5,0.1,0.02,0.1
Elkhart,Indiana,54.8,3.1,26.9,14.8,0.8,0.09,0.5,0.09
Edison,New-Jersey,55.8,1.7,6.4,6.6,29.2,0.09,0.3,0.03
Chico,California,69.8,3.1,20.6,2.4,3.4,0.3,,0.3
Mineral-Springs,Arkansas,0.5,1.4,5.7,1.9,,,0.4,
Columbus,Georgia,48.6,1.4,4.5,43.4,1.5,0.3,0.2,0.1
Rochester,New-York,35.6,2.1,20.3,38.7,2.7,0.1,0.5,0.01
Pinellas-Park,Florida,69.4,3.6,13.0,5.8,8.3,0.08,0.2,0.01
Sioux-Falls,South-Dakota,80.5,3.2,5.4,7.2,2.2,1.9,0.05,0.01
Crestview,Florida,66.7,7.2,9.4,13.7,1.8,0.2,0.2,0.04
Albertville,Minnesota,91.7,2.2,,3.3,1.0,,1.7,
Prosser,Washington,47.8,,48.4,0.7,2.0,2.1,,0.2
Pompano-Beach,Florida,40.3,2.0,23.5,31.9,1.1,0.1,0.4,0.01
Daytona-Beach,Florida,51.6,3.0,9.2,32.0,2.6,0.1,0.8,0.02
Poulsbo,Washington,78.0,4.8,10.6,1.4,4.1,0.1,,0.8
Portland,Tennessee,84.7,3.8,8.7,2.2,0.4,0.2,,0.06
Laredo,Texas,3.5,0.2,96.4,0.3,0.5,0.04,0.04,0.01
Kapaa,Hawaii,38.3,23.3,7.5,0.1,25.3,0.2,0.2,4.5
Las-Vegas,Nevada,41.0,3.6,35.5,11.6,6.9,0.3,0.3,0.8
Trenton,New-Jersey,11.7,1.1,40.1,46.2,1.4,0.05,0.07,
Hillsdale,New-Jersey,77.0,1.9,7.7,2.2,9.0,0.3,0.6,
North-Miami,Florida,8.9,0.7,29.9,57.1,1.2,,0.5,0.01
Shepherd,Texas,73.3,2.5,2.7,0.3,,,,
Sacramento,California,32.0,5.0,30.9,11.3,18.2,0.6,0.2,1.9
Bridgeport,Connecticut,20.2,1.5,43.1,29.6,4.3,0.02,1.1,0.2
Endicott,New-York,80.7,3.6,4.7,7.9,2.2,0.2,,
Newark,Delaware,70.4,3.6,7.4,8.7,8.4,0.2,0.5,0.07
