city,state,White alone,Two or more races,Hispanic,Black alone,Asian alone,American Indian alone,Other race alone,Native Hawaiian and OtherPacific Islander alone
Catasauqua,Pennsylvania,77.7,0.7,15.2,4.2,0.6,,,
Raleigh,North-Carolina,52.5,2.1,12.5,28.3,4.0,0.4,0.1,
New-Orleans,Louisiana,30.7,1.9,5.5,58.5,2.8,0.2,0.4,0.01
Greeneville,Tennessee,87.2,2.2,5.5,4.1,0.3,0.5,,
Salt-Lake-City,Utah,63.6,2.5,19.8,2.4,6.7,1.7,0.09,3.2
Hillsdale,Illinois,2.3,2.3,3.6,0.7,,,,
Suitland,Maryland,1.7,1.0,8.5,87.2,0.9,,0.2,
Pacheco,California,45.7,5.2,2.7,2.7,2.4,0.7,0.6,
Lakeland,Florida,57.4,1.4,17.9,19.8,2.1,0.4,0.4,0.02
Huron,South-Dakota,69.6,1.3,12.4,1.9,11.4,1.4,,2.4
Bellingham,Washington,77.5,5.0,9.6,1.4,5.5,0.9,0.05,0.2
Elmwood-Park,Illinois,59.8,0.9,31.7,2.4,4.6,0.05,0.6,
Cave-Junction,Oregon,89.9,0.4,5.2,1.0,2.4,0.3,,
Evanston,Illinois,58.6,3.6,11.8,15.6,9.8,0.01,0.6,
Duluth,Minnesota,88.1,3.5,2.5,2.5,1.6,1.9,0.03,0.05
Crete,Illinois,51.6,2.8,9.6,35.7,0.5,,,
Watertown,South-Dakota,91.2,1.9,2.8,1.1,0.4,2.3,,
Decherd,Tennessee,78.1,2.5,4.8,3.8,0.3,0.2,,
Toms-River,New-Jersey,79.4,2.5,10.8,3.6,3.2,0.06,0.4,0.01
Melbourne-Beach,Florida,90.0,2.8,6.6,,0.5,,,
Newark,New-Jersey,12.1,0.7,36.9,47.4,1.5,0.2,1.2,
Hamlin,Texas,1.0,6.4,0.3,1.6,0.06,,,
Cullman,Alabama,88.2,2.7,5.7,1.1,0.6,0.8,0.4,
Newport,Arkansas,67.7,7.1,4.0,20.4,0.1,0.3,0.1,
Canton,Ohio,63.9,6.0,5.0,25.2,0.5,0.01,0.2,0.02
Allentown,Pennsylvania,29.1,0.7,54.7,11.2,3.6,0.1,0.5,0.06
Martinsville,Virginia,43.4,3.9,5.9,45.1,1.0,0.3,0.5,0.09
Fort-Worth,Texas,37.9,2.0,36.4,18.5,4.9,0.3,0.07,0.07
Millville,New-Jersey,59.9,2.2,18.9,15.2,2.4,0.5,,
Lafayette,Colorado,74.5,3.6,16.2,0.8,4.3,0.1,0.4,
State-College,Pennsylvania,77.9,2.3,4.5,3.7,11.4,0.06,0.01,0.1
Flagstaff,Arizona,64.6,4.5,19.6,1.4,3.1,6.9,0.04,0.5
Newport,North-Carolina,78.5,3.1,7.1,8.5,2.4,0.1,,
West-Portsmouth,Ohio,98.5,0.6,,,0.2,,,
Astoria,Oregon,80.6,6.2,11.3,0.3,0.8,0.3,,0.2
South-Lake-Tahoe,California,58.3,1.8,31.3,1.0,8.2,0.4,,0.02
Montoursville,Pennsylvania,92.2,4.3,2.1,0.02,0.7,,,
Rumford,Maine,94.9,1.8,1.0,0.6,1.3,,,
Jacksonville,Florida,49.9,3.2,10.7,30.7,4.8,0.3,0.4,0.03
Madison,Wisconsin,72.9,3.5,6.8,7.1,9.1,0.3,0.2,0.1
Wynne,Arkansas,64.0,4.0,2.0,29.6,,0.4,,
Waco,Texas,44.7,2.6,30.0,20.3,1.9,0.3,0.2,0.02
Florence,Kentucky,85.1,2.0,4.3,5.7,2.9,0.07,,
Williamsport,Pennsylvania,77.4,3.4,2.6,14.3,1.3,0.6,0.1,
Greencastle,Indiana,87.0,0.5,3.5,2.2,6.7,,0.05,0.1
Belfast,Maine,92.4,2.1,1.8,1.3,,0.5,3.3,
Laramie,Wyoming,80.2,2.5,10.6,2.2,3.4,1.0,0.07,0.05
Moundsville,West-Virginia,96.7,0.3,1.6,0.2,0.1,,,0.8
Lake-City,Florida,50.9,3.3,6.4,35.0,3.0,0.3,0.6,
Surfside-Beach,South-Carolina,94.3,1.2,3.5,0.3,0.6,,,
Franklin-Park,Illinois,47.0,1.2,48.4,0.3,3.1,0.2,,
El-Sobrante,California,34.3,5.8,29.3,11.7,18.3,0.07,0.1,0.6
Bluefield,Virginia,86.1,0.7,1.8,8.0,1.6,0.8,,
Richland,Washington,76.5,4.0,11.9,2.3,3.8,0.6,0.2,0.01
Christiansburg,Virginia,86.2,0.8,3.1,5.6,2.9,0.5,0.09,
Springfield,Ohio,71.1,6.0,4.5,17.2,0.9,0.3,0.2,0.03
Lake-Charles,Louisiana,44.0,2.2,3.4,47.8,1.9,0.5,0.3,
Nutley,New-Jersey,83.3,0.9,6.7,1.8,7.1,0.04,0.2,0.03
Bear,Delaware,33.7,2.7,22.1,37.6,5.0,,,
Laurens,South-Carolina,52.3,3.0,3.4,40.1,0.8,0.1,,
Wichita,Kansas,62.8,4.5,16.5,10.3,5.0,0.6,0.3,0.02
Carbondale,Illinois,57.6,3.1,5.6,26.5,5.9,0.3,0.7,0.08
Anderson,Indiana,74.5,2.7,5.8,15.6,0.9,0.2,0.7,
Niceville,Florida,81.8,5.2,4.5,6.0,2.4,0.09,,
Indianola,Mississippi,16.4,0.4,0.9,82.2,0.07,0.3,,
Chino-Valley,Arizona,76.4,1.0,19.6,0.4,2.1,0.2,,
Grand-Junction,Colorado,77.9,2.2,17.3,0.7,1.4,0.4,0.05,0.2
Springdale,Arkansas,46.5,2.1,38.5,2.7,2.1,0.6,0.7,8.7
Grayville,Illinois,94.9,1.3,2.1,0.6,0.1,,,
Naperville,Illinois,66.6,2.7,6.0,4.9,19.8,0.1,0.2,0.01
Clinton,Oklahoma,50.9,5.7,32.1,4.7,2.1,5.6,,
Jacksonville,North-Carolina,51.6,6.5,23.3,15.3,2.8,0.4,0.05,0.03
Geneseo,Illinois,96.5,0.7,0.3,0.8,0.7,,,
Manchester,Tennessee,83.9,4.9,4.0,4.3,1.0,0.09,2.1,0.08
Walla-Walla,Washington,67.0,4.1,23.9,2.1,2.4,0.2,,0.1
Struthers,Ohio,89.8,1.5,5.1,3.1,0.3,,,
Richardson,Texas,51.1,2.5,18.1,10.6,16.4,0.5,0.1,0.08
Haskell,Texas,58.6,2.8,32.6,4.3,0.2,0.7,,
Independence,Missouri,71.0,2.6,9.4,10.7,2.5,0.4,2.0,1.5
Shiprock,New-Mexico,1.6,1.1,2.9,0.2,0.6,94.6,,0.1
Topeka,Kansas,67.3,2.7,16.7,10.8,1.3,0.9,0.2,
Concordia,Missouri,95.3,2.1,1.2,0.3,,0.5,,0.3
Bristol,Tennessee,90.3,3.3,2.6,2.8,0.5,0.02,0.08,0.01
Brea,California,40.8,2.7,31.7,1.8,22.5,0.2,0.1,0.2
Kingston,Tennessee,89.3,2.0,1.5,5.3,1.1,,0.4,
Dallas,Texas,29.1,1.4,41.2,24.3,3.7,0.3,0.04,0.02
Jamestown,North-Dakota,89.4,2.3,3.6,2.0,0.5,2.0,0.02,0.08
Traverse-City,Michigan,90.1,2.9,2.5,1.5,1.0,2.0,,
Decatur,Arkansas,57.3,4.6,6.4,1.2,3.2,6.0,2.0,0.4
Aspermont,Texas,6.9,1.2,8.0,3.0,,,,
Cleveland,Oklahoma,74.2,9.0,3.6,1.7,1.3,9.9,,
Sioux-City,Iowa,66.5,3.4,20.5,4.7,3.3,1.9,0.1,0.3
Steeleville,Illinois,92.3,0.8,0.7,4.8,,0.4,,
Fairmont,West-Virginia,88.2,2.4,0.8,6.9,0.8,0.1,0.6,
Springfield,Oregon,78.9,4.8,11.8,0.9,1.7,1.2,0.02,0.4
Eau-Claire,Wisconsin,87.7,1.5,2.6,1.4,5.6,0.4,0.03,1.0
Pocatello,Idaho,83.0,2.9,9.2,0.9,2.1,1.4,0.2,0.2
Long-Branch,New-Jersey,51.7,2.2,31.2,13.4,1.5,0.1,0.9,
Absecon,New-Jersey,70.5,0.6,12.5,9.9,5.4,,,2.6
Bartlett,Illinois,66.1,2.3,12.9,1.9,16.7,0.1,0.3,0.01
La-Habra,California,24.9,1.5,59.7,1.3,12.3,0.2,0.07,
Tucumcari,New-Mexico,28.1,0.2,66.4,2.8,0.6,1.4,0.4,0.2
Logan,New-Mexico,7.6,0.6,8.0,,2.6,,,
Belleville,Illinois,65.5,4.9,3.2,25.1,0.4,0.2,0.2,
Tallahassee,Florida,48.0,2.2,6.5,38.1,4.8,0.1,0.3,0.04
San-Luis,Arizona,2.2,0.2,98.3,0.3,,0.2,,0.08
Biloxi,Mississippi,62.7,3.3,8.4,20.2,5.3,0.1,0.04,0.01
Truth-or-Consequences,New-Mexico,62.4,1.0,29.6,0.7,1.6,3.8,0.2,
Oak-Grove,Missouri,92.1,1.5,4.6,0.9,0.5,,,
Bowie,Maryland,29.6,4.4,7.7,51.5,5.0,0.2,0.2,
Stamford,Texas,46.3,3.0,47.4,3.1,,0.03,,
Kennett,Missouri,73.3,2.7,6.0,17.0,0.4,0.5,,
Henderson,Nevada,63.1,4.2,16.1,5.9,9.1,0.2,0.9,0.5
Atlanta,Illinois,97.1,1.0,0.5,0.05,0.3,,,
Durham,New-Hampshire,87.1,3.0,2.5,1.0,6.0,,0.2,
Texarkana,Texas,48.4,2.9,7.7,38.0,2.0,0.7,,
Ocean-City,Maryland,87.1,3.1,6.6,1.6,0.09,,,
Amherst,Ohio,87.4,2.9,6.5,0.8,2.6,0.2,,
Collinsville,Illinois,77.5,2.0,4.5,13.6,1.6,0.2,,
Centerville,Georgia,57.2,2.6,8.4,29.7,1.9,,,
Rock-Hill,South-Carolina,50.0,1.6,6.9,38.7,2.0,0.1,0.4,0.02
Valdese,North-Carolina,93.3,1.8,2.5,0.2,1.5,0.2,,
Titusville,Florida,70.9,5.5,6.3,12.8,2.7,0.3,1.0,0.2
Columbus,Ohio,53.9,3.7,7.0,29.0,5.9,0.2,0.3,
San-Bernardino,California,12.7,2.8,64.9,14.8,4.5,0.2,0.06,0.03
Tacoma,Washington,58.0,9.4,12.8,11.2,6.1,1.0,0.5,1.0
Dalton,Massachusetts,95.8,1.0,1.6,0.7,0.8,0.06,0.06,0.01
Muskogee,Oklahoma,50.0,9.3,8.6,15.0,0.9,16.5,0.1,0.03
Chadron,Nebraska,80.9,1.8,5.4,6.3,0.8,4.4,,
Carlsbad,New-Mexico,43.7,1.1,51.6,1.8,0.9,0.8,0.04,
Ashland,Oregon,85.0,3.0,7.4,1.8,2.1,0.5,0.05,0.2
Aurora,Illinois,34.6,2.6,42.6,10.4,9.6,0.06,0.05,0.1
Atlantic-City,New-Jersey,15.4,3.0,32.0,33.0,16.3,0.3,0.04,
Harrisburg,Illinois,87.2,5.0,0.9,4.1,1.9,,0.09,0.4
Prescott-Valley,Arizona,73.7,1.6,20.9,0.9,1.3,1.5,0.1,
Riverside,California,26.7,2.4,57.2,5.1,7.6,0.5,0.1,0.3
Dallas,Georgia,56.8,5.6,5.1,29.8,0.7,,1.5,0.5
Wyoming,Michigan,61.6,5.2,23.4,6.8,3.1,0.5,0.04,0.01
Youngstown,Ohio,45.9,3.0,8.7,40.8,1.1,0.1,0.5,
Cleveland,Texas,45.6,1.7,35.7,16.6,0.1,,,
Wildwood,New-Jersey,68.3,3.2,8.5,6.9,2.5,,,
Attleboro,Massachusetts,82.2,1.4,7.1,4.8,4.3,0.3,0.3,0.03
Swansboro,North-Carolina,79.8,1.8,6.5,2.1,8.8,,,
Longview,Texas,53.0,1.9,20.2,22.2,1.7,0.1,0.2,0.2
Augusta,Maine,92.6,2.1,1.9,1.0,1.3,0.7,0.3,0.02
Las-Cruces,New-Mexico,33.9,1.3,58.5,2.5,2.1,1.6,0.03,0.2
Irvine,California,39.3,5.0,10.4,2.2,42.8,0.03,0.1,0.2
Somerdale,New-Jersey,55.6,4.1,2.9,25.0,2.2,,,
Wisconsin-Rapids,Wisconsin,84.3,3.2,6.2,1.3,4.3,0.3,0.3,0.2
Butte,Montana,93.5,1.2,2.8,0.1,0.4,1.8,0.05,0.06
Lake-Orion,Michigan,92.1,0.1,4.0,0.2,3.2,,,
New-Bedford,Massachusetts,59.3,3.2,21.1,8.5,2.0,0.1,5.7,
South-Plainfield,New-Jersey,49.9,3.5,19.6,11.3,14.8,,0.4,
Akron,Ohio,57.2,4.1,3.0,30.7,5.0,0.2,0.6,0.01
New-Berlin,Illinois,97.5,1.2,0.3,0.1,,,,
Tye,Texas,7.0,1.8,5.8,0.6,0.5,,,3.1
Chattanooga,Tennessee,56.9,2.4,6.6,31.0,2.8,0.2,0.3,0.03
Medford,Oregon,75.5,3.4,16.7,1.1,1.7,1.3,0.2,0.5
Iowa-City,Iowa,74.7,2.5,6.1,9.1,7.3,0.3,0.6,0.05
Port-Angeles,Washington,80.9,5.0,6.8,1.3,2.6,2.5,0.07,
Frederick,Maryland,53.6,3.0,18.5,19.7,6.6,0.3,0.07,0.01
Springfield,Massachusetts,29.0,2.6,49.0,15.8,3.6,0.02,,
Red-Bank,New-Jersey,54.4,0.9,34.1,8.9,2.5,,,
Quincy,Illinois,87.6,2.3,1.9,6.3,0.9,0.2,0.2,
Glassboro,New-Jersey,62.7,3.3,12.2,18.0,4.1,0.01,0.8,
Waterville,Maine,91.8,1.6,2.5,1.0,2.6,0.2,,0.1
Harrison,Arkansas,90.9,4.7,2.2,0.6,0.4,0.6,,
Gulfport,Mississippi,52.0,2.4,6.0,37.7,1.4,0.6,0.03,
Bergenfield,New-Jersey,34.9,1.4,30.8,7.9,25.5,0.2,0.1,
Chicopee,Massachusetts,69.6,1.6,21.9,3.9,2.5,0.1,0.01,
Gaston,North-Carolina,3.5,1.7,5.8,7.9,0.2,0.6,,
South-Charleston,West-Virginia,80.6,5.5,2.2,8.4,2.6,0.8,,
Carson-City,Nevada,65.1,1.9,24.6,2.1,2.7,2.0,0.3,0.04
Milton,Georgia,67.5,1.6,5.9,11.0,13.1,0.07,0.5,0.1
Council-Bluffs,Iowa,83.5,1.8,10.7,2.7,1.0,0.5,,0.01
Throop,Pennsylvania,87.4,2.1,1.8,1.3,5.9,,,
Hampton,Virginia,37.2,3.8,6.2,49.5,2.6,0.02,0.5,0.2
La-Grande,Oregon,83.9,3.6,6.8,1.0,1.0,0.7,,2.1
Madras,Oregon,47.8,1.7,41.1,1.0,1.3,8.4,,
Waterbury,Connecticut,39.6,2.5,37.4,17.9,1.9,0.2,0.6,
Portland,Maine,81.9,2.3,3.1,9.0,3.6,0.4,0.2,0.04
Johnson-City,Tennessee,81.7,2.9,5.3,6.7,2.9,0.4,0.1,
Easthampton,Massachusetts,94.6,0.8,2.1,0.5,1.7,0.1,0.2,0.01
Georgetown,Delaware,42.1,1.1,39.4,2.9,5.2,0.04,0.4,
Clovis,New-Mexico,42.3,2.7,46.7,5.8,1.5,0.7,0.3,0.1
Newark,California,22.9,3.3,34.6,3.9,34.1,0.3,0.2,0.8
Honolulu,Hawaii,18.7,13.1,4.4,1.5,55.3,0.1,0.2,6.7
Corinth,Mississippi,67.9,3.6,4.1,24.3,0.02,,,
Lufkin,Texas,41.3,2.2,30.2,23.6,2.2,0.06,0.3,0.01
Roebuck,South-Carolina,68.8,0.6,2.3,7.6,0.9,,,
Altus,Oklahoma,57.6,3.2,28.0,8.4,1.6,1.6,0.06,0.05
Philadelphia,Pennsylvania,34.2,2.4,15.2,40.1,7.5,0.3,0.3,0.04
Seattle,Washington,62.8,5.6,6.6,7.3,16.5,0.6,0.2,0.4
San-Angelo,Texas,49.0,1.3,43.0,4.6,1.4,0.2,0.1,0.08
Milwaukee,Wisconsin,34.8,2.8,19.2,38.0,4.3,0.6,0.3,0.01
Nacogdoches,Texas,50.0,1.7,19.0,26.3,2.4,0.2,,0.04
Mill-Valley,California,85.9,3.6,4.3,0.9,5.4,,,
Allentown,New-Jersey,86.0,2.5,3.7,6.6,0.7,,0.1,
Cameron,Missouri,78.2,4.7,3.8,11.6,0.8,0.8,,0.06
Trenton,Georgia,87.2,3.4,4.2,0.6,1.6,,1.7,0.2
Woodward,Oklahoma,78.7,4.2,14.8,0.7,0.3,1.0,,
Carbondale,Colorado,56.9,0.9,40.7,1.0,0.2,0.1,,0.3
Columbus,Nebraska,73.7,0.9,24.1,0.5,0.6,0.6,,
Miami-Beach,Florida,30.3,0.8,61.1,3.1,4.1,,0.7,
Scranton,Pennsylvania,70.7,2.1,16.6,7.0,5.3,0.01,0.02,0.1
Spearfish,South-Dakota,90.9,2.6,2.4,0.9,0.9,2.0,,0.4
Beacon-Falls,Connecticut,91.2,1.1,5.0,1.4,1.2,0.03,0.08,0.02
Highland,Indiana,74.6,0.8,15.9,4.9,2.8,1.0,0.05,0.09
Caribou,Maine,93.6,1.4,2.2,1.7,0.1,1.0,,
Marfa,Texas,7.1,,73.1,,0.05,,,
Anchorage,Alaska,57.0,8.1,9.4,5.1,9.0,8.7,0.08,2.8
Bentonville,Arkansas,69.5,3.1,10.5,3.2,12.2,0.7,0.4,0.2
Levittown,New-York,71.5,2.1,16.0,1.0,8.1,,0.5,
Blacksburg,Virginia,74.2,2.0,4.5,4.7,13.1,0.5,0.7,0.04
Lynchburg,Virginia,61.6,2.1,4.3,28.7,2.5,0.2,0.3,0.01
Manchester,Connecticut,66.0,2.3,12.0,11.3,7.9,0.2,0.2,0.03
Fruitland-Park,Florida,83.1,3.6,6.6,5.0,0.2,0.1,0.3,
Paterson,New-Jersey,7.3,0.5,60.7,24.6,6.4,,0.4,
Albuquerque,New-Mexico,38.5,2.4,49.3,2.5,3.0,3.9,0.3,0.04
Beach-Park,Illinois,44.4,4.0,37.0,11.2,4.5,,,
Janesville,Wisconsin,88.1,2.1,5.6,2.3,1.5,0.2,,0.02
Jackson,Tennessee,47.3,1.9,4.4,44.4,1.5,0.1,0.6,
Grandview,Missouri,45.9,5.7,10.3,35.2,1.8,0.06,1.0,
Melbourne,Arkansas,97.6,1.1,,0.6,,,,
Valdosta,Georgia,38.0,1.3,5.4,53.3,1.6,0.2,0.3,0.01
Meadow,Utah,6.5,0.4,1.3,,,0.9,,
Merced,California,23.7,2.6,57.8,3.0,12.6,0.3,,
Billings,Montana,85.5,2.6,6.4,0.3,0.7,4.5,0.03,
Fort-Myers,Florida,48.4,1.3,25.4,21.9,2.7,0.04,0.5,0.1
Greenville,Mississippi,15.9,0.7,0.6,82.1,0.8,0.1,0.2,
Hilo,Hawaii,16.8,28.2,11.9,0.4,34.1,0.07,0.1,9.1
Millinocket,Maine,92.8,0.3,5.4,,,1.4,,
Portland,Oregon,70.5,5.2,9.7,5.5,8.1,0.6,0.1,0.3
Bellmawr,New-Jersey,73.6,1.0,10.9,2.0,11.3,,0.3,
Lubbock,Texas,50.1,2.4,37.4,7.1,2.6,0.3,0.06,0.03
Charlotte,North-Carolina,40.5,2.9,15.0,34.7,6.2,0.3,0.3,0.04
Dalton,Georgia,42.2,1.2,47.6,6.7,2.9,0.2,0.06,0.01
Dothan,Alabama,57.6,1.5,3.5,35.0,1.3,0.09,1.9,0.04
Vermillion,South-Dakota,84.5,2.0,3.3,2.4,3.4,3.7,0.1,
Millbrook,Alabama,67.0,1.4,5.1,26.0,0.5,,,
Worcester,Massachusetts,53.2,2.7,25.2,12.4,5.0,0.4,1.1,0.1
Montgomery,Alabama,30.5,1.7,3.9,61.3,2.9,0.1,0.1,0.01
West-Haven,Connecticut,49.2,3.4,24.5,19.2,4.1,0.05,0.3,
Brooklyn,Ohio,64.8,3.7,13.4,13.2,4.8,,0.5,0.08
Dalhart,Texas,50.8,2.0,42.1,0.8,2.5,1.0,0.4,
Clinton,Maryland,7.1,2.0,7.2,79.8,2.7,0.3,0.05,0.06
Rockford,Illinois,52.4,3.0,19.5,22.5,3.5,0.07,0.4,
Waterloo,Iowa,70.3,2.6,7.2,18.3,2.2,0.5,0.1,0.1
Hopkinsville,Kentucky,60.7,1.9,3.7,31.4,1.7,0.4,0.02,0.5
Gainesville,Florida,55.0,2.3,13.2,21.9,5.8,0.2,0.8,0.9
Lake-Wales,Florida,51.2,1.7,20.6,25.3,0.2,,0.7,0.02
New-Castle,Delaware,62.0,2.0,6.6,26.9,1.4,0.2,0.5,
Greenville,South-Carolina,66.7,1.8,5.1,22.5,2.4,0.2,0.3,0.6
Richmond,Virginia,41.9,3.3,7.3,44.9,2.0,0.1,0.3,
Missoula,Montana,88.2,3.6,3.6,1.0,2.2,1.4,0.2,0.02
Denver,Colorado,54.8,3.2,29.3,8.5,3.6,0.4,0.2,0.07
Altoona,Pennsylvania,90.0,2.9,2.6,3.5,0.2,0.07,0.04,0.03
Milford,Delaware,51.8,2.6,16.3,25.9,1.6,0.3,1.5,0.3
Queen-City,Texas,72.9,2.0,1.1,2.7,,,,
Oacoma,South-Dakota,1.9,,,,,7.3,,
Des-Plaines,Illinois,62.5,2.1,19.4,2.0,13.8,0.1,0.3,0.1
Bismarck,North-Dakota,87.4,2.4,2.8,2.1,1.1,4.0,0.03,0.2
Trinity,Texas,41.8,4.7,5.1,8.2,0.2,,,
Upper-Marlboro,Maryland,2.4,1.3,,3.8,,,,
Redding,California,77.5,3.5,10.1,1.6,4.6,2.4,0.2,0.05
Atlanta,Georgia,39.1,1.7,4.9,48.5,5.3,0.2,0.2,0.1
Norman,Oklahoma,71.1,5.8,9.6,5.1,4.6,3.7,,0.09
Indio,California,28.3,0.8,65.7,3.1,2.3,0.2,0.1,
Topsham,Maine,92.9,1.4,3.4,,2.0,,,
Adrian,Michigan,72.5,3.2,19.8,4.1,0.08,0.2,0.4,0.03
Clayton,New-Mexico,40.5,3.6,51.2,1.9,,1.9,0.6,
Rome,Georgia,49.1,2.7,18.7,25.9,2.9,0.2,0.7,
Laurel,Delaware,31.5,2.5,3.8,52.1,0.02,,,
Sweetwater,Texas,46.6,1.0,43.8,7.7,0.4,0.2,,
Decatur,Illinois,68.4,6.6,3.0,20.6,0.7,0.2,0.2,0.02
Midland,Michigan,87.2,1.8,3.9,2.0,4.2,0.6,0.2,0.06
Manassas,Virginia,39.3,3.5,38.2,13.2,5.5,0.3,0.2,0.1
Brunswick,Georgia,32.5,1.7,8.8,54.7,2.2,0.2,0.07,0.2
Talladega,Alabama,44.3,1.5,6.0,48.2,0.1,0.2,0.1,
Parkersburg,West-Virginia,93.7,1.7,0.8,3.1,0.4,0.09,,0.1
Mason,Tennessee,9.9,,6.3,1.8,1.6,,0.6,
Mount-Zion,Illinois,83.3,9.1,1.2,4.5,1.1,0.5,,
Great-Falls,Montana,83.9,4.7,4.8,1.1,0.7,4.9,0.07,0.02
Kearney,Nebraska,85.0,1.9,9.7,1.2,1.8,0.2,0.02,
Portland,Texas,53.9,0.7,41.6,1.1,2.0,0.05,,0.1
Weirton,West-Virginia,92.4,2.6,1.5,2.6,0.6,,,0.2
Chandler,Oklahoma,71.2,2.5,3.3,6.2,,5.9,,0.2
Glenview,Illinois,75.3,1.9,6.3,1.5,14.9,0.03,0.1,
Davenport,Iowa,73.6,3.1,9.1,12.4,2.3,0.3,0.2,0.02
Pittsburg,Kansas,78.8,4.2,9.7,3.6,3.1,0.6,,
Tazewell,Virginia,83.7,2.5,1.0,0.9,0.2,0.7,,
Elizabeth,New-Jersey,11.0,0.6,66.8,19.1,0.9,0.2,1.4,
Norfolk,Nebraska,79.6,1.1,14.1,1.7,1.9,1.8,,
Fayetteville,Arkansas,76.3,2.8,7.7,7.2,3.6,1.0,0.6,0.1
West-Des-Moines,Iowa,79.0,1.5,6.2,4.8,8.0,0.2,0.02,0.05
Hardeeville,South-Carolina,70.4,0.4,2.1,16.1,0.5,0.6,,
The-Dalles,Oregon,85.0,1.6,10.5,0.3,0.9,1.1,0.09,0.6
Rochester,New-Hampshire,91.8,2.5,2.8,0.7,1.8,0.05,,0.3
Memphis,Tennessee,25.9,1.3,7.7,62.8,2.1,0.1,0.08,0.01
Goshen,Indiana,65.6,2.4,27.0,3.6,2.0,0.02,0.1,
Columbia,South-Carolina,52.2,2.5,6.9,35.4,2.6,0.1,0.1,0.08
Huntingburg,Indiana,65.2,1.2,29.8,1.9,2.8,,,
Lahaina,Hawaii,21.5,16.0,14.1,0.1,39.6,,0.3,8.4
Appleton,Wisconsin,78.8,2.0,8.4,3.2,7.3,0.4,,
San-Fernando,California,4.1,0.07,93.4,0.7,1.3,0.6,0.1,0.02
Michigan-City,Indiana,58.4,4.7,6.5,29.6,0.9,0.1,0.08,
Rapid-City,South-Dakota,76.4,4.8,5.3,1.5,1.5,10.3,0.1,0.2
Mentone,California,41.2,4.9,40.6,3.5,8.0,,1.1,
Yankton,South-Dakota,86.8,2.3,4.3,2.6,0.2,3.8,,0.6
Bozeman,Montana,89.2,3.2,3.7,1.0,2.3,0.7,0.04,
Oshkosh,Wisconsin,86.8,1.3,4.0,3.6,3.5,0.4,0.07,0.3
Peoria,Arizona,69.8,3.7,17.9,3.3,4.8,0.4,,0.1
Melville,New-York,80.5,1.9,5.0,3.1,8.0,,0.2,0.1
San-Augustine,Texas,7.2,2.2,4.4,6.0,,,,
Hartford,Wisconsin,91.0,1.6,4.1,1.6,0.3,0.5,0.5,
Racine,Wisconsin,53.7,3.0,19.9,22.3,0.6,0.3,0.2,
Morgantown,West-Virginia,85.4,2.7,3.5,4.1,3.4,0.1,0.6,
Mason,Texas,61.5,2.3,1.3,0.09,4.1,,,
Kalamazoo,Michigan,62.8,5.9,8.0,21.4,2.0,0.1,0.3,
Siren,Wisconsin,3.0,2.2,3.1,,0.5,0.7,,
Martinsville,Illinois,96.3,1.8,0.4,,,0.4,,
Colorado-Springs,Colorado,67.3,4.1,18.8,5.8,3.0,0.5,0.2,0.3
West-Dundee,Illinois,81.6,0.2,6.0,2.2,9.6,,,
Spirit-Lake,Iowa,95.4,1.1,2.1,0.3,0.6,,,
Wheatland,Wyoming,81.9,4.3,0.9,,2.5,,,
Haledon,New-Jersey,31.9,1.4,53.5,1.1,1.5,0.04,0.5,
Sarasota,Florida,64.6,1.8,17.7,13.5,1.7,0.2,,
Sunray,Texas,4.7,1.8,50.8,,1.4,1.0,,
Providence,Rhode-Island,32.0,2.6,44.2,15.3,5.1,0.4,0.3,0.04
Troutdale,Oregon,69.4,5.1,15.9,2.7,5.4,1.0,0.4,
Texarkana,Arkansas,57.8,2.6,4.7,33.7,0.2,0.7,0.3,0.08
Flint,Michigan,36.8,4.5,4.6,53.2,0.4,0.4,0.06,0.01
Greensboro,North-Carolina,38.3,3.5,9.3,42.2,5.8,0.5,0.5,0.04
Oakley,Kansas,88.3,2.5,7.6,0.05,,1.1,0.2,
Chula-Vista,California,16.8,2.4,58.0,5.0,17.3,0.07,0.05,0.4
McAllen,Texas,9.4,0.5,84.0,0.3,3.6,0.07,2.3,
Baltimore,Maryland,27.4,1.7,5.7,61.8,2.6,0.3,0.4,0.04
Willowick,Ohio,91.1,1.7,2.1,4.0,0.6,,,
Steamboat-Springs,Colorado,86.2,0.3,9.3,1.5,1.7,0.1,0.2,
Beaumont,Texas,31.4,1.0,17.3,46.9,3.3,0.2,0.06,0.03
Edmond,Oklahoma,74.6,6.7,6.8,5.3,3.5,2.2,0.2,0.04
Okawville,Illinois,90.9,2.1,2.8,3.4,,,,
Alpena,Michigan,94.4,1.2,2.5,1.1,0.4,0.2,,
North-Haven,Connecticut,81.7,1.6,5.3,4.4,5.6,,0.04,
Twin-Falls,Idaho,77.1,1.8,16.6,1.4,2.6,0.5,,0.06
Covington,Kentucky,78.0,3.5,6.2,11.5,0.7,0.2,0.02,0.01
Windsor,Colorado,85.6,2.1,8.9,0.4,1.6,0.3,0.04,
New-Haven,Michigan,84.7,5.5,1.3,8.1,,0.1,0.1,
Enid,Oklahoma,69.6,5.1,15.2,2.8,1.1,1.9,,2.6
Pittsburgh,Pennsylvania,63.7,2.9,3.7,23.5,5.7,0.2,0.3,
Bangor,Maine,89.1,2.8,2.1,2.1,2.5,0.9,1.0,
