city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
El-Centro,California,44079.0,100,0,32.8,20310.0,225848.0,783.0,93.5,4602.0
Lecanto,Florida,5882.0,,,46.3,22017.0,194459.0,862.0,82.9,217.0
Madisonville,Tennessee,5002.0,90,10,41.2,32741.0,156091.0,642.0,79.2,860.0
Florence,South-Carolina,38531.0,99,1,40.5,31189.0,161486.0,798.0,81.6,2177.0
Suwanee,Georgia,20907.0,100,0,38.4,39977.0,354689.0,1565.0,97.6,2131.0
Burlington,Iowa,24713.0,99,1,42.8,29181.0,100199.0,818.0,77.4,1759.0
Erie,Pennsylvania,95508.0,100,0,37.1,21437.0,91200.0,693.0,91.5,4349.0
Sayre,Oklahoma,4486.0,87,13,38.0,15509.0,84246.0,619.0,77.1,1326.0
Ambler,Pennsylvania,6491.0,100,0,35.7,37552.0,317422.0,1137.0,104.3,7683.0
Superior,Wisconsin,25977.0,96,4,38.2,28737.0,131903.0,767.0,96.8,703.0
Woodstock,Virginia,5258.0,97,3,41.7,26112.0,227466.0,962.0,82.8,1619.0
Meadville,Pennsylvania,12655.0,99,1,38.5,23435.0,111462.0,677.0,86.4,2909.0
Zanesville,Ohio,25158.0,99,1,37.7,19601.0,87216.0,759.0,78.4,2239.0
Show-Low,Arizona,11442.0,77,23,41.9,25475.0,200463.0,861.0,87.3,411.0
Augusta,Georgia,136381.0,,,34.3,24664.0,119764.0,,93.1,1443.0
Lamesa,Texas,9147.0,100,0,35.3,22760.0,81786.0,678.0,76.8,1913.0
Independence,Kentucky,28521.0,95,5,36.0,33748.0,190081.0,937.0,87.5,1700.0
Elmira,New-York,27054.0,100,0,35.0,18752.0,78091.0,678.0,101.4,3698.0
Hattiesburg,Mississippi,45863.0,97,3,29.6,23144.0,107019.0,872.0,80.8,931.0
San-Francisco,California,881549.0,100,0,38.2,75084.0,1000000.0,1959.0,173.4,18879.0
Marlow-Heights,Maryland,5618.0,,,40.9,35123.0,303848.0,1339.0,164.0,2725.0
Concord,New-Hampshire,43627.0,92,8,40.1,35744.0,244442.0,1078.0,115.8,679.0
Marion,Arkansas,12310.0,96,4,35.4,30869.0,164015.0,855.0,85.2,917.0
Sheridan,Wyoming,17940.0,100,0,38.3,33074.0,243413.0,789.0,87.7,2114.0
Winston-Salem,North-Carolina,247945.0,100,0,35.0,27107.0,154200.0,840.0,88.4,2278.0
Huntley,Illinois,27228.0,99,1,49.0,40228.0,264390.0,1232.0,104.9,2324.0
Wilkes-Barre,Pennsylvania,40766.0,100,0,34.3,20322.0,74331.0,790.0,93.4,5952.0
London,Kentucky,8068.0,100,0,43.7,25347.0,131043.0,643.0,80.4,1046.0
Barnesville,Ohio,3998.0,100,0,43.0,22148.0,83705.0,591.0,87.2,2079.0
Menasha,Wisconsin,17873.0,100,0,37.0,33225.0,141674.0,787.0,90.9,3400.0
Defiance,Ohio,16634.0,98,2,37.6,29888.0,121811.0,728.0,77.2,1578.0
Hazleton,Pennsylvania,24794.0,100,0,35.5,21025.0,96898.0,837.0,94.1,4150.0
West-Columbia,South-Carolina,17998.0,100,0,42.4,33570.0,153442.0,856.0,86.6,2963.0
Lima,Ohio,36659.0,100,0,33.0,19188.0,72578.0,697.0,89.3,2867.0
Elizabeth-City,North-Carolina,17751.0,98,2,33.9,20483.0,154336.0,904.0,83.0,1986.0
Cotati,California,7410.0,100,0,36.9,40883.0,572912.0,1753.0,143.2,3944.0
Cleveland,Ohio,381009.0,100,0,35.5,21782.0,71100.0,725.0,94.2,4911.0
Spokane-Valley,Washington,101060.0,100,0,37.5,32526.0,261400.0,986.0,93.4,
Middletown,Rhode-Island,16150.0,,,42.8,49948.0,375575.0,,122.1,1244.0
Redwood-City,California,85925.0,99,1,38.3,74326.0,1000000.0,2760.0,176.5,4412.0
Durant,Oklahoma,18673.0,87,13,33.6,22582.0,132493.0,751.0,80.8,981.0
Starkville,Mississippi,25653.0,96,4,27.8,23685.0,190576.0,773.0,84.2,999.0
Baton-Rouge,Louisiana,220236.0,100,0,33.8,28511.0,187500.0,874.0,90.0,2866.0
Benton-City,Washington,3495.0,98,2,35.8,27390.0,173574.0,902.0,93.4,2008.0
East-Chicago,Indiana,27817.0,100,0,34.6,18570.0,81277.0,694.0,94.0,2323.0
Orlando,Florida,287442.0,99,1,34.6,34656.0,260800.0,1307.0,92.5,3074.0
Hot-Springs,Arkansas,38797.0,98,2,42.0,24502.0,122197.0,719.0,82.0,1180.0
Dupont,Pennsylvania,2683.0,100,0,45.5,30093.0,105113.0,762.0,93.9,1767.0
Rockford,Michigan,6391.0,100,0,35.6,33770.0,217625.0,891.0,85.3,2133.0
Warren,Arkansas,5587.0,97,3,39.1,18794.0,91120.0,658.0,78.5,813.0
Tustin,California,79348.0,100,0,34.7,39626.0,720100.0,2047.0,88.1,6960.0
Russell-Springs,Kentucky,2638.0,0,100,37.8,15729.0,97690.0,546.0,81.2,572.0
Hurley,New-Mexico,1176.0,0,100,37.9,20185.0,86545.0,830.0,85.3,1151.0
Santa-Barbara,California,91364.0,100,0,37.6,52079.0,1000000.0,1800.0,129.1,4815.0
Eugene,Oregon,172622.0,100,0,36.9,33176.0,329000.0,1099.0,98.5,4260.0
Dumas,Texas,13827.0,100,0,31.0,25456.0,153466.0,899.0,80.0,2697.0
Hamilton,Texas,3012.0,96,4,42.9,22326.0,127327.0,670.0,78.9,1063.0
Tyler,Texas,106985.0,99,1,35.2,28783.0,164700.0,1011.0,85.4,2170.0
Prescott,Arizona,44299.0,91,9,59.7,38308.0,398061.0,947.0,94.7,1195.0
San-Jacinto,California,49215.0,99,1,32.3,20945.0,264611.0,1332.0,80.8,1976.0
Little-Rock,Arkansas,197312.0,98,2,37.4,34701.0,171700.0,875.0,84.9,1698.0
Grants-Pass,Oregon,38170.0,99,1,39.1,24554.0,255897.0,1065.0,92.3,5033.0
Tampa,Florida,399700.0,100,0,36.0,36747.0,265700.0,1202.0,95.9,3567.0
Victoria,Texas,66916.0,98,2,35.1,27535.0,140300.0,1005.0,84.2,2030.0
Lewiston,Idaho,32788.0,99,1,40.3,31040.0,227673.0,744.0,89.1,1987.0
Pawtucket,Rhode-Island,72117.0,100,0,36.0,27438.0,217700.0,935.0,92.2,8255.0
Folcroft,Pennsylvania,6632.0,100,0,36.4,27135.0,115220.0,1240.0,101.4,4896.0
Saginaw,Michigan,48115.0,100,0,35.0,17820.0,42871.0,716.0,81.4,2758.0
White-Deer,Texas,955.0,0,100,40.7,40958.0,114664.0,926.0,78.6,548.0
Schaumburg,Illinois,72887.0,100,0,40.4,44358.0,255700.0,1444.0,106.0,3836.0
Wilmington,North-Carolina,123744.0,100,0,35.9,32024.0,273600.0,1092.0,95.1,3018.0
Texline,Texas,539.0,0,100,48.0,33316.0,98051.0,763.0,78.6,532.0
