city,state,grocery stores per 10k,convenience stores (no gas) per 10k,convenience stores (with gas) per 10k,full-service restaurants per 10k,supercenters and club stores per 10k
San-Jacinto,California,1.6,0.44,1.51,5.45,0.05
Little-Rock,Arkansas,1.95,0.67,4.57,8.18,0.11
Grants-Pass,Oregon,2.35,2.22,1.48,8.4,0.37
Tampa,Florida,2.25,1.11,3.19,6.5,0.12
Victoria,Texas,0.93,0.58,6.73,7.2,0.23
Lewiston,Idaho,2.83,0.52,3.61,6.96,
Pawtucket,Rhode-Island,2.06,1.5,2.1,7.96,0.02
Folcroft,Pennsylvania,1.86,1.5,1.14,5.66,0.02
Saginaw,Michigan,2.08,2.22,2.72,4.89,0.2
White-Deer,Texas,3.17,1.58,6.33,9.5,
Schaumburg,Illinois,2.77,0.93,1.53,6.67,0.04
Wilmington,North-Carolina,2.31,0.68,4.0,13.7,0.21
Texline,Texas,,,4.89,17.9,
Kalispell,Montana,1.73,0.23,5.19,11.1,0.12
Austin,Texas,1.37,1.45,3.1,7.96,0.08
Milledgeville,Georgia,2.37,0.86,6.69,5.82,
Hopatcong,New-Jersey,1.92,1.65,0.86,6.68,
Atlantic-Highlands,New-Jersey,2.57,1.82,0.8,9.71,0.08
Portage,Michigan,1.68,1.84,2.62,7.24,0.2
Joplin,Missouri,0.78,0.17,5.56,7.65,0.43
Des-Moines,Iowa,1.51,0.19,3.78,7.57,0.17
San-Jose,California,1.99,0.68,1.38,8.59,0.04
Tulsa,Oklahoma,1.51,0.51,2.84,8.37,0.15
Amarillo,Texas,1.25,0.42,5.07,8.97,0.17
Cary,Illinois,1.4,0.76,2.03,6.29,0.13
Waukegan,Illinois,1.71,0.54,2.46,6.47,0.06
Lady-Lake,Florida,1.7,1.17,3.56,5.99,0.07
Bemidji,Minnesota,1.61,0.23,5.76,6.91,0.23
Newport,Rhode-Island,1.48,2.22,1.97,17.2,0.12
Madison,Indiana,2.76,0.31,3.99,7.06,0.31
Fort-Stockton,Texas,2.52,0.63,10.7,8.18,
Hobbs,New-Mexico,1.38,0.69,5.17,7.07,0.17
Marshall,Minnesota,3.65,1.22,3.24,8.1,
Denison,Iowa,3.03,,8.48,6.05,
Fort-Pierce,Florida,1.35,1.11,2.35,5.54,0.12
Spartanburg,South-Carolina,1.78,0.8,5.38,7.59,0.22
Decorah,Iowa,3.35,,5.27,10.0,0.48
Mountain-Home,Arkansas,1.67,0.24,6.93,11.4,0.24
Clarksville,Indiana,1.9,0.57,3.43,6.19,0.19
Florence,Alabama,1.58,1.24,5.65,7.01,0.23
Reston,Virginia,1.81,1.29,1.62,6.9,0.03
Holyoke,Massachusetts,1.95,1.87,2.43,7.27,0.04
Fort-Smith,Arkansas,1.65,0.74,5.27,8.57,0.33
Okeechobee,Florida,2.99,2.24,4.49,5.99,0.25
Paducah,Kentucky,2.01,0.77,5.25,10.0,0.46
Wallington,New-Jersey,2.9,1.51,1.07,8.07,0.06
Walnut,California,2.12,0.58,1.23,7.15,0.03
Garberville,California,3.58,0.47,3.65,9.95,0.08
Aberdeen,Washington,3.51,2.95,4.21,8.99,
Markham,Illinois,2.77,0.93,1.53,6.67,0.04
Delmar,Delaware,2.45,0.98,4.62,12.8,0.16
Carthage,Missouri,0.78,0.17,5.56,7.65,0.43
Phoenix,Arizona,1.3,0.57,1.99,5.86,0.16
Kingman,Arizona,1.23,0.61,3.62,6.84,0.1
Durham,North-Carolina,1.88,1.06,3.49,7.71,0.08
Las-Vegas,New-Mexico,1.75,0.35,4.54,7.34,0.35
Greenfield,Massachusetts,3.63,1.67,3.21,8.1,0.14
Key-West,Florida,3.7,2.06,5.07,27.1,
Corpus-Christi,Texas,0.94,1.22,5.09,8.68,0.09
El-Dorado,Arkansas,2.09,1.62,8.11,5.56,0.23
Spencer,Iowa,1.8,,5.39,8.39,0.6
Twentynine-Palms,California,1.5,0.57,1.6,4.69,0.05
Felton,Delaware,1.58,1.19,3.43,4.81,0.13
Wichita-Falls,Texas,1.17,0.86,3.75,7.04,0.23
West-Chicago,Illinois,1.89,1.05,2.16,7.24,0.09
Jersey-Shore,Pennsylvania,1.71,0.86,3.42,8.13,0.09
Corbin,Kentucky,2.35,1.04,5.22,3.39,0.26
Kennewick,Washington,1.2,0.63,3.4,6.11,0.25
Vallejo,California,1.92,0.52,2.24,5.43,0.1
Wenatchee,Washington,2.83,1.13,3.68,12.3,
Sachse,Texas,1.64,1.15,2.82,6.73,0.1
Union-City,Tennessee,1.59,0.32,4.76,7.94,0.32
Crockett,Texas,1.32,1.76,4.41,3.97,0.44
Coldwater,Michigan,0.87,0.22,3.68,5.2,0.43
West-Palm-Beach,Florida,2.05,1.28,2.25,8.96,0.1
Moses-Lake,Washington,2.19,1.58,5.22,6.07,0.24
Tallulah,Louisiana,,,,3.39,
Gary,Indiana,1.67,0.61,3.56,5.86,0.08
Eatonton,Georgia,1.49,,9.91,8.43,0.5
Merlin,Oregon,2.35,2.22,1.48,8.4,0.37
Stratford,Texas,,,3.47,3.47,
Fargo,North-Dakota,1.38,,3.64,7.14,0.07
Dickinson,North-Dakota,1.78,,5.8,7.58,
Boone,North-Carolina,1.8,0.9,4.5,17.5,
Eden,Texas,2.79,,16.7,5.57,
Columbia,Missouri,1.45,0.26,4.6,10.0,0.13
Convoy,Ohio,2.08,0.69,3.46,5.2,
South-San-Francisco,California,2.44,0.56,1.62,10.0,0.06
Green-Bay,Wisconsin,1.36,0.29,3.74,8.43,0.12
Rockwall,Texas,0.95,0.54,3.12,7.73,0.14
Stockton,California,2.34,0.67,2.02,5.23,0.04
Pensacola,Florida,1.98,1.48,3.92,5.8,0.16
Palm-Springs,California,1.6,0.44,1.51,5.45,0.05
Ames,Iowa,1.17,0.35,3.75,7.27,0.12
Poplar-Bluff,Missouri,2.18,1.46,7.03,6.06,0.24
Bolton,Connecticut,1.36,1.15,2.24,6.57,
Silver-Spring,Maryland,2.16,1.0,1.42,5.91,0.02
Bowling-Green,Kentucky,2.41,0.19,4.14,6.94,0.19
Pocola,Oklahoma,1.62,1.21,7.07,3.84,0.2
Pendleton,Oregon,2.18,1.78,1.91,7.92,0.55
Rogers,Arkansas,1.23,0.35,3.9,6.42,0.3
Grand-Rapids,Michigan,1.96,0.9,2.16,6.69,0.3
Weatherford,Oklahoma,2.31,0.77,7.3,11.9,
Gruver,Texas,3.88,,5.82,13.5,
New-London,Connecticut,1.82,1.36,3.22,10.0,0.11
Gladstone,Missouri,1.56,0.28,3.12,6.38,0.14
Columbia,Louisiana,,,5.82,,
Highlands-Ranch,Colorado,0.81,0.11,1.92,6.38,0.15
Lancaster,California,2.12,0.58,1.23,7.15,0.03
Willmar,Minnesota,1.97,0.74,5.41,5.66,
Louisville,Kentucky,1.79,0.71,2.75,6.86,0.16
Beaufort,South-Carolina,2.52,0.55,3.82,15.8,0.14
Claremont,New-Hampshire,1.41,1.41,6.34,4.93,0.23
Robert-Lee,Texas,5.77,,5.77,14.4,
Oklahoma-City,Oklahoma,2.79,0.41,2.33,8.1,0.17
South-Sioux-City,Nebraska,1.97,0.49,3.45,5.92,
Hebron,Kentucky,1.16,0.8,3.3,8.12,0.27
Fairmont,Minnesota,2.45,,6.36,6.85,
Killeen,Texas,0.94,1.48,4.21,5.15,0.14
Monterey,California,2.82,0.91,2.0,9.24,0.05
Port-St.-Lucie,Florida,1.35,1.11,2.35,5.54,0.12
Harrisburg,Pennsylvania,2.0,0.78,3.52,8.76,0.12
Lafayette,Indiana,1.3,0.68,1.91,7.4,0.25
Parkville,Maryland,1.74,1.12,1.91,4.67,0.09
Murphy,North-Carolina,1.89,0.76,6.81,8.7,0.38
Leesburg,Virginia,1.73,1.01,1.87,6.81,0.11
Easton,Maryland,4.15,1.11,3.6,13.0,
Poughkeepsie,New-York,3.42,1.16,2.63,10.3,0.1
West-Frankfort,Illinois,1.52,0.51,5.58,6.6,0.25
Muscatine,Iowa,2.13,0.24,4.96,8.03,0.24
Coffeyville,Kansas,1.74,0.29,6.38,7.84,0.29
Lansing,Michigan,2.05,1.69,2.41,7.08,0.25
Columbus,Indiana,2.41,0.4,3.49,7.78,0.27
Kansas-City,Kansas,1.5,0.78,3.26,5.4,0.07
Paris,Illinois,2.66,,5.84,3.72,0.53
Darlington,South-Carolina,2.84,1.05,6.74,4.04,0.15
Concord,California,1.78,0.51,1.75,6.73,0.05
Torrance,California,2.12,0.58,1.23,7.15,0.03
Sunny-Isles-Beach,Florida,2.51,1.2,1.98,6.76,0.06
St.-Petersburg,Florida,2.19,1.82,2.66,8.95,0.07
Shelbyville,Tennessee,2.74,0.46,5.7,4.79,0.23
Anderson,South-Carolina,1.89,0.72,6.45,6.78,0.17
Hollywood,Florida,2.05,1.53,2.24,8.0,0.09
Marana,Arizona,1.22,0.52,2.27,6.17,0.09
Bangs,Texas,1.83,0.78,9.41,8.36,0.26
Morehead-City,North-Carolina,2.38,0.48,6.81,15.2,0.32
Minot,North-Dakota,1.61,,3.57,5.9,
Asheville,North-Carolina,2.16,0.93,4.9,10.6,0.04
Bridgeport,Ohio,2.64,1.76,4.69,5.13,0.15
Wilmington,Delaware,1.56,1.35,2.13,6.4,0.06
Detroit,Michigan,2.81,1.48,2.64,5.14,0.09
Pelham,New-Hampshire,1.82,1.65,2.67,8.23,0.12
Lincoln-Park,Michigan,2.81,1.48,2.64,5.14,0.09
Catasauqua,Pennsylvania,1.9,0.77,2.67,7.51,0.09
Raleigh,North-Carolina,2.12,0.82,3.39,7.81,0.12
New-Orleans,Louisiana,4.76,1.49,2.36,,0.07
Greeneville,Tennessee,1.67,0.46,6.68,5.16,
Salt-Lake-City,Utah,1.45,0.47,2.45,5.55,0.16
Hillsdale,Illinois,1.56,0.88,4.01,7.54,0.07
Suitland,Maryland,1.7,1.6,1.66,3.24,0.02
Pacheco,California,1.78,0.51,1.75,6.73,0.05
Lakeland,Florida,1.64,1.82,3.75,4.9,0.1
Huron,South-Dakota,3.18,0.64,8.28,8.91,
Bellingham,Washington,1.77,0.83,3.8,9.57,0.16
Elmwood-Park,Illinois,2.77,0.93,1.53,6.67,0.04
Cave-Junction,Oregon,2.35,2.22,1.48,8.4,0.37
Evanston,Illinois,2.77,0.93,1.53,6.67,0.04
Duluth,Minnesota,1.99,0.1,5.4,8.96,0.1
Crete,Illinois,1.27,0.48,1.82,4.26,0.07
