state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
North Dakota,Griggs,188,586,528,452,10.718358039855957,33.40935134887695,30.102622985839844,25.769668579101562
North Dakota,Hettinger,247,646,769,248,12.931937217712402,33.821990966796875,40.26177978515625,12.984292984008789
North Dakota,Kidder,163,602,700,315,9.157303810119629,33.82022476196289,39.325843811035156,17.69662857055664
North Dakota,LaMoure,408,854,964,726,13.821138381958008,28.92953872680664,32.655826568603516,24.593496322631836
North Dakota,Logan,166,458,485,271,12.028985977172852,33.18840408325195,35.144927978515625,19.63768196105957
North Dakota,McHenry,382,1391,1479,886,9.231513023376465,33.615272521972656,35.741905212402344,21.41131019592285
North Dakota,McIntosh,363,660,664,312,18.15907859802246,33.016510009765625,33.216609954833984,15.607804298400879
North Dakota,McKenzie,737,2263,2913,2053,9.25182056427002,28.408235549926758,36.56791305541992,25.772031784057617
North Dakota,McLean,525,2346,2631,1448,7.553956985473633,33.755393981933594,37.85611343383789,20.834531784057617
North Dakota,Mercer,515,1616,2555,1300,8.603407859802246,26.99632453918457,42.682926177978516,21.71734046936035
North Dakota,Morton,1775,6435,7809,5883,8.10428237915039,29.380878448486328,35.65427780151367,26.86056137084961
North Dakota,Mountrail,502,2223,2500,1341,7.645446300506592,33.85622787475586,38.07493209838867,20.42339324951172
North Dakota,Nelson,179,637,822,545,8.199725151062012,29.18002700805664,37.65460205078125,24.96564292907715
North Dakota,Oliver,112,396,507,271,8.709176063537598,30.79315757751465,39.4245719909668,21.073095321655273
North Dakota,Pembina,530,1615,1884,1047,10.441292762756348,31.816390991210938,37.115840911865234,20.62647819519043
North Dakota,Pierce,198,1047,1105,623,6.659939289093018,35.21695327758789,37.167842864990234,20.955263137817383
North Dakota,Ramsey,637,2265,2895,2078,8.088889122009277,28.761905670166016,36.761905670166016,26.38730239868164
North Dakota,Ransom,344,1352,1393,730,9.007593154907227,35.401939392089844,36.47551727294922,19.114952087402344
North Dakota,Renville,79,573,692,338,4.696789741516113,34.066585540771484,41.14149856567383,20.095125198364258
North Dakota,Richland,978,2856,4470,2247,9.26926326751709,27.068523406982422,42.36565399169922,21.296560287475586
