city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
Barnesville,Ohio,,,7.5,,,,3.5,,,,,5.0,,,5.8,,5.2,14.2,4.8,,10.1,,,4.6,,,,,7.2,,9.3,,,,,5.4,,,,,,,,,,4.7,,,,,,,,,,,,,,5.0,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,
Menasha,Wisconsin,,2.8,,4.0,3.2,5.7,,,,,,,6.5,,3.9,,5.5,7.0,4.6,,,,,,4.4,,,,5.0,,3.9,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defiance,Ohio,,,6.7,,,,4.6,,,,,,7.4,,3.9,,4.0,3.9,4.0,,,,,3.3,,,,,5.7,3.9,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazleton,Pennsylvania,,5.0,5.6,4.4,,6.6,,,,,,4.9,5.0,,,,4.0,4.5,4.1,,,,,3.1,,4.2,,,5.1,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Columbia,South-Carolina,,5.1,4.4,,,7.6,,,4.2,,,4.3,,,,,,4.3,5.4,4.0,4.4,4.0,,,,3.5,,,6.9,,4.1,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima,Ohio,,,3.9,,,3.8,,,,,,4.5,5.8,4.3,3.9,,8.0,7.2,3.7,,4.5,5.3,,,,,,,4.9,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth-City,North-Carolina,,4.2,4.4,,,,4.8,,,,,7.2,,,4.8,,,4.6,7.2,,4.7,3.5,,,,,,,6.4,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotati,California,,,6.6,5.1,,8.8,,,,4.0,,,,,5.2,3.7,,6.3,10.4,4.6,,,,,,,3.7,,6.4,,,,5.9,,,,,,,,,,,,,3.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Ohio,,3.8,,5.1,,,,,,3.0,,4.2,3.4,,5.0,,6.6,,,3.9,6.7,3.6,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spokane-Valley,Washington,,4.1,,3.6,,,,,,5.3,,3.6,3.2,,3.4,,4.6,4.8,,5.0,6.0,,,3.1,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,Rhode-Island,7.1,4.2,4.7,,,6.0,6.9,,,3.3,,,,,6.0,,,3.3,3.5,7.5,,,,3.7,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood-City,California,3.6,5.7,,3.3,,,,,2.9,3.5,,,,,4.9,,,,,,,3.4,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,Oklahoma,,4.5,5.1,,4.0,5.0,4.7,,,,,5.5,6.3,,4.7,,4.7,6.3,,,,,,4.4,,,,,6.6,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starkville,Mississippi,2.9,5.2,,,,4.9,5.1,,,3.1,3.5,,,,3.8,,,,,,,,,3.5,,,,,8.3,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baton-Rouge,Louisiana,3.3,4.2,,,,4.5,,,,3.5,,5.4,,,4.6,,5.8,3.8,,,5.0,,,2.9,,4.2,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,
Benton-City,Washington,,,6.5,4.7,,,,,,,,8.8,,,5.9,,4.8,9.7,5.9,5.3,,,5.6,,,7.2,,,5.1,,,,,,,7.2,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,
East-Chicago,Indiana,,,,,4.1,4.6,,,,,,7.0,3.6,,5.3,,7.8,5.6,,,,3.7,,3.3,,,,,6.5,,,,,,,,,,3.8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando,Florida,,6.6,,2.9,,,,,,4.9,2.9,,,,4.5,,3.0,3.9,,,,3.9,,3.6,3.4,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot-Springs,Arkansas,,4.5,5.0,,,4.3,,,,,,5.6,5.2,,6.0,,,4.2,3.7,,4.9,,,4.5,,4.6,,,4.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dupont,Pennsylvania,,,,,6.3,7.5,,,,,,5.0,10.8,,5.5,,6.3,,,6.3,,,,,,5.7,,,,7.2,5.5,,,,,,,,7.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,Michigan,,5.3,4.2,,,6.7,8.4,,,,,4.9,4.7,,,,5.8,6.1,5.1,,,,,,,,,4.5,7.0,,,,,,,5.3,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren,Arkansas,,4.0,4.8,,,,5.5,,,,,5.5,6.8,,6.3,,,7.0,,5.1,7.7,,,4.1,,,,,5.4,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,
Tustin,California,4.0,4.9,,3.3,,3.2,,,3.3,8.8,,,2.9,,3.0,,4.0,,,,4.0,,,,4.5,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell-Springs,Kentucky,,,5.0,7.3,,,9.5,,,,,,6.6,,,,,10.6,9.6,4.3,,6.4,,,,6.4,,,,,,,,,,,4.7,,,6.8,,,,,,,,4.3,,,,,,,,,,,,4.6,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,
Hurley,New-Mexico,,3.5,4.3,5.9,,4.7,5.1,5.2,,,,7.5,,,,,,7.7,5.6,5.1,4.7,,,,,,,,,,12.4,4.7,,,,,,,,,,,,,5.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa-Barbara,California,3.2,6.4,,2.8,,,,,3.8,3.3,,,,,10.7,,,,,,5.2,2.5,,,,,,3.5,2.7,,,,,,,,2.7,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
Eugene,Oregon,,4.8,,,,,,,,3.1,4.1,,3.3,,3.0,,3.2,3.3,,3.5,,4.1,,,,,,3.4,,5.0,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,
Dumas,Texas,,,,,,4.3,8.7,,,,,4.9,10.3,,4.6,,6.7,4.6,8.5,,,4.6,,4.5,,,,,6.1,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Texas,,6.1,,4.7,,5.6,8.0,,3.6,,,,,,4.1,,,11.4,7.2,,7.1,4.7,4.9,,,,,,7.3,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Texas,,5.8,,,,,,,,,,4.1,2.6,,3.5,,6.4,4.2,2.5,4.4,3.1,3.2,,2.5,,4.3,,,,,,,,,,,3.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott,Arizona,,4.5,4.8,,,4.4,,,,,,3.8,,,3.5,,,,3.0,,,,,3.8,,,,,6.9,3.7,,,,,,,,3.5,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jacinto,California,,4.1,3.8,,,4.3,4.1,,4.3,,,,2.9,,8.2,,,6.6,4.1,5.0,3.9,,,,,,,,8.1,,,,,,4.2,,,,,3.9,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little-Rock,Arkansas,,5.6,,,,,,,,3.7,,4.2,,,4.9,,5.2,3.3,,4.7,5.8,,11.6,,3.9,,,3.2,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,
Grants-Pass,Oregon,,4.5,5.0,3.8,,6.2,,,,,,3.8,5.1,,5.8,,,5.3,,,,,,3.9,,,,,4.0,,4.3,,4.6,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,Florida,,5.2,,,,2.7,,,,5.7,,,,,5.2,,3.1,3.8,,3.2,,2.3,,,3.4,,,3.3,3.7,2.7,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Texas,,4.1,5.3,,,5.4,7.2,,,,,4.6,6.8,,3.7,,,5.0,5.4,,,,,4.7,,,,,7.3,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewiston,Idaho,,4.4,5.1,4.9,,5.6,,,,,,3.6,6.8,,3.8,,3.7,5.8,6.4,,3.6,,,,,,,,8.4,3.7,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawtucket,Rhode-Island,,4.0,,,3.9,3.3,,,,3.8,,3.2,3.5,,4.6,,5.7,5.9,,,9.9,,,,3.9,,,,,4.5,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folcroft,Pennsylvania,,,,4.3,5.6,10.7,,,,,,4.5,4.6,,4.4,,4.1,8.0,6.6,3.7,,,,5.0,3.3,3.9,,,9.2,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw,Michigan,,,,,3.1,4.1,,,,,,7.4,6.1,4.6,4.4,,4.0,,4.1,,6.8,,,4.8,,,,,4.2,,,,,,,4.6,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-Deer,Texas,,,5.2,,,,7.5,,,,,,4.7,,5.7,3.8,,5.0,,,,,,,,,,,,,,,,8.9,4.3,,,,,6.0,,,,4.2,,7.8,,3.8,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Schaumburg,Illinois,4.9,4.8,,,1.9,3.4,,,,5.7,,,,,,,1.9,5.2,,3.6,,,,3.2,3.1,,,4.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,North-Carolina,,4.7,,,,,,,,,,4.6,,,3.6,,4.7,,,3.6,,5.2,2.9,3.7,,3.5,,2.6,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texline,Texas,,6.6,4.9,,,,11.5,,,,,,,,9.8,,5.0,11.4,,,,7.4,,,,,,,13.1,,,,,9.3,12.1,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,
Kalispell,Montana,,4.7,5.8,5.7,,5.4,,,,,,,4.1,,,,4.2,4.2,4.6,,,,,5.9,,,,,5.8,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,Texas,3.8,6.5,,2.8,,3.0,,,3.0,3.6,,,,,3.9,,,,,2.4,,,,,2.6,,,3.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,
Milledgeville,Georgia,,5.1,3.9,,,5.2,5.8,,,,3.9,4.8,4.0,,5.0,,,,,4.2,,4.5,,4.6,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopatcong,New-Jersey,,5.2,4.3,4.8,,10.8,3.7,,,4.6,,,,,,,,5.0,5.7,,,,,3.9,3.8,,,,10.0,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-Highlands,New-Jersey,6.8,5.2,4.9,,,4.0,4.5,,,10.2,4.8,,,,,,,,4.4,,,,,5.7,,,4.2,,11.7,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portage,Michigan,,5.7,4.2,,3.5,6.6,5.5,,,3.8,,,5.7,,,,,,3.7,4.9,,,,4.8,,,,,6.9,,,,,,,3.9,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joplin,Missouri,,3.4,4.8,4.8,,4.6,4.8,,,,,,7.0,,3.9,,,7.3,4.1,,,,,4.7,,,,,6.2,3.6,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des-Moines,Iowa,,3.3,,5.0,,4.3,,,,5.1,,,3.8,,5.1,,5.5,3.5,3.8,,3.3,3.0,,,5.0,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jose,California,7.9,6.0,,,,2.9,,,2.1,5.1,,2.0,,,3.4,,2.8,,2.4,3.0,4.7,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Oklahoma,,5.9,,2.7,,,,,,2.7,,2.7,3.6,,3.9,,4.2,3.2,,3.5,3.6,2.5,,2.4,,,,,2.9,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo,Texas,,7.1,,5.6,,3.4,,,,,,,3.9,,5.5,2.9,5.6,4.9,4.3,4.2,3.9,,,,,3.6,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cary,Illinois,4.1,8.5,4.6,,3.2,6.8,5.5,,,5.8,,3.4,,,,,,,,,,,,4.1,4.4,,7.4,5.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukegan,Illinois,,4.3,,,,,,,,4.2,,4.6,6.5,5.7,5.1,,5.8,4.0,,,3.4,2.8,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady-Lake,Florida,,,5.2,5.3,5.9,,,,,,,7.0,,,6.2,,4.6,5.7,10.5,,,5.5,,8.2,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji,Minnesota,,5.4,3.7,,,5.5,5.4,,,,,5.6,,,,,,3.6,,3.8,,3.8,,2.8,,,,,5.7,5.8,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,Rhode-Island,,7.1,4.5,4.2,,4.4,,,,3.8,,,,,4.4,,,,,,,,,3.3,,,3.7,3.6,4.5,4.6,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Indiana,,4.7,3.2,4.7,3.5,5.1,5.4,,,,,,8.4,,3.6,,,4.3,4.3,4.1,,,,5.2,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Stockton,Texas,,,3.5,,,5.3,9.7,,,,,5.1,,,7.1,4.4,,5.1,4.1,,,,,,,,,,5.9,4.5,5.4,,,,,,,,,,,,,,3.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobbs,New-Mexico,,3.8,4.2,5.2,,4.7,7.4,,,,,5.8,4.5,,3.5,,4.6,6.0,6.8,5.0,,,,,,,,,5.0,,5.2,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,Minnesota,,3.4,4.0,3.4,,5.1,,,,3.3,,3.6,4.9,,4.1,,7.0,4.9,3.9,,,,,,,,,,7.1,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denison,Iowa,,4.0,4.3,,,,6.0,,,,,,5.6,,4.2,,5.8,4.9,3.6,,,,,,,,,,6.3,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Pierce,Florida,,,3.5,,,5.3,4.7,,5.0,,,4.9,4.3,,6.4,,4.1,4.5,,,5.2,3.4,,,,,,,4.9,,,,,,5.1,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg,South-Carolina,,4.9,3.3,,4.3,4.6,5.2,,,,,4.7,4.8,,4.7,,3.6,,,,,,,3.7,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decorah,Iowa,,5.6,,,3.3,5.9,4.1,,,,,,4.0,,4.4,,,,,,,5.3,3.6,,,,,,4.3,,,5.8,,,,,5.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain-Home,Arkansas,,3.6,4.2,5.9,,5.2,5.2,,,,,4.4,6.1,,3.6,,,4.8,6.1,4.1,,,,3.7,,,3.8,,7.7,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksville,Indiana,,3.9,3.7,4.7,,9.4,,,,,,5.4,7.7,,3.4,,,5.8,,4.1,,,,4.6,,,,,5.1,,4.3,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Alabama,,4.4,4.6,4.8,4.4,5.0,6.1,,,,,5.9,5.7,,,,3.8,,,,,,,3.9,,,4.4,,5.1,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reston,Virginia,5.5,9.8,,,,,,,,4.9,,,,,2.6,,2.7,,,,,,,,,,,2.7,3.3,,,,,,,,,,,,2.7,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,
Bristol,Virginia,,,4.0,,5.3,8.1,,,,,,5.1,7.8,,4.5,,,5.8,5.0,,,,,4.0,3.7,,4.3,,6.2,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke,Massachusetts,,3.1,3.5,,5.1,5.7,6.3,,,,,3.9,5.0,,4.7,,3.7,,4.8,4.9,4.8,,,,,,,,4.9,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Smith,Arkansas,,3.7,3.5,,,5.0,4.8,,,,,,8.0,3.4,4.5,,4.0,4.2,4.4,4.1,,,,3.5,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Florida,,,,8.0,3.3,5.3,6.2,,,,,9.0,4.2,,5.7,,,6.4,4.6,,,,,4.5,,,,,5.6,7.2,5.3,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paducah,Kentucky,,5.0,4.4,,3.9,6.1,4.2,,,,,6.7,5.3,,4.2,,,3.7,3.9,,4.5,,,3.8,,4.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallington,New-Jersey,,4.2,,3.8,5.1,11.4,,,,5.1,,,7.4,,6.6,,,5.1,5.6,,,,4.2,,3.7,,,,8.3,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut,California,6.2,5.4,3.8,,,9.1,4.9,,,4.6,,,4.5,,,,,,,7.1,,,,,,,4.2,6.5,4.4,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garberville,California,,4.5,5.3,,,,4.4,,,,,,8.6,,8.3,,5.2,,5.3,,3.7,,,5.3,,,,,,,4.8,,5.3,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Washington,,4.7,6.0,,,7.8,5.6,,,,,5.2,3.2,,5.3,,,6.2,5.1,,,,,4.1,,,,,4.7,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,
Markham,Illinois,,,,,4.0,7.6,,,,,,,7.2,,6.5,,4.8,9.2,4.4,4.2,5.1,,,4.1,5.3,4.7,,,6.7,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delmar,Delaware,,,6.0,4.4,5.3,,,,,,,7.4,,,5.6,,,8.8,8.5,4.7,,,,4.4,,,,,5.0,,,,,,,4.0,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,
Carthage,Missouri,,4.5,,,,7.0,4.9,,,,,,7.8,,5.6,,,4.5,5.9,4.4,4.8,,,3.7,,,,,4.3,,3.7,,,,,,,,4.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Arizona,,5.4,,3.6,,3.2,,,3.7,4.8,,,,,4.6,,3.1,3.3,,,2.9,,,2.5,4.7,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingman,Arizona,,5.2,3.7,4.7,,7.7,4.7,,,,,3.8,5.3,,3.6,,4.7,8.2,4.9,,,,,,,,,,7.2,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,North-Carolina,,8.0,,,,,,,,7.8,3.4,3.3,,,4.8,,,,2.8,5.1,,,3.3,,,3.5,,,,,,,,,,,3.2,4.3,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Vegas,New-Mexico,,4.5,4.9,5.3,,6.3,5.2,,,,4.9,,,,5.5,,,,,,4.4,3.9,,4.1,,,,,5.8,,4.3,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Massachusetts,,,3.6,,4.2,6.1,,,,,3.4,,5.3,,7.4,,,,4.0,5.5,4.8,,,2.9,,,,,4.1,3.8,4.1,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key-West,Florida,,5.4,5.4,5.5,,,,,,,,,,,5.0,,,,3.3,,,3.7,,5.8,,,,,5.9,6.5,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,
Corpus-Christi,Texas,,7.2,,,,,,,,,4.1,3.2,,,5.5,,4.3,4.2,3.6,4.1,4.9,,,,2.2,,,,,,3.2,,,,,,3.3,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Dorado,Arkansas,,3.4,,,,5.2,5.7,,,,,,6.2,,4.6,,4.3,6.6,4.0,,4.7,3.5,,,,,3.4,,7.4,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,Iowa,,4.0,4.0,4.3,3.5,,,,,,,,4.0,,,,6.3,5.5,4.7,,,,,5.9,,,4.9,,5.8,,,,3.6,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
