city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
Hobbs,New-Mexico,2607.70,62.24,329.07,,,,,,
Marshall,Minnesota,1795.43,,374.58,,,,,,
Denison,Iowa,2073.39,,108.20,,,,,,
Fort-Pierce,Florida,1482.48,,222.48,,,,,,
Spartanburg,South-Carolina,812.99,832.94,222.23,,,,,,
Decorah,Iowa,618.40,,,,,,,,
Mountain-Home,Arkansas,617.07,22.75,520.96,,,,,,
Clarksville,Indiana,2023.80,352.68,227.11,,,,,,
Florence,Alabama,1718.53,92.41,162.56,,,,,,
Bristol,Virginia,,,984.85,,,,,,
Holyoke,Massachusetts,2403.52,12.46,,,,,,,
Fort-Smith,Arkansas,1366.73,158.23,3555.98,,,,,,
Okeechobee,Florida,1995.87,,,,,,,,
Paducah,Kentucky,2966.90,,244.60,,,,,,
Wallington,New-Jersey,512.14,172.77,,,,,,,
Walnut,California,951.96,58.18,,,,,,,
Aberdeen,Washington,51.98,,,,,,,,
Markham,Illinois,698.31,,,,,,,,
Delmar,Delaware,251.37,,,,,,,,
Carthage,Missouri,1394.28,,,,,,,,
Phoenix,Arizona,1459.48,144.43,1328.42,,,,,,
Kingman,Arizona,2561.12,,40.95,,,,,,
Durham,North-Carolina,,147.60,49.79,,,,,,
Las-Vegas,New-Mexico,,,1253.66,,,,,,
Key-West,Florida,3841.32,,,,,,,,
Corpus-Christi,Texas,1499.67,758.00,286.87,,,,,,
El-Dorado,Arkansas,1827.83,48.67,71.55,,,,,,
Spencer,Iowa,8960.74,,382.85,,,,,,
Twentynine-Palms,California,541.36,398.00,,,,,,,
Felton,Delaware,221.36,,,,,,,,
Wichita-Falls,Texas,635.10,177.88,112.66,,,,,,
West-Chicago,Illinois,345.69,,406.59,,,,,,
Jersey-Shore,Pennsylvania,495.53,,,,,,,,
Corbin,Kentucky,963.20,507.78,,,,,,,
Vallejo,California,1262.02,307.35,238.64,,,,,,
Sachse,Texas,1314.64,372.00,22.08,,,,,,
Union-City,Tennessee,3054.92,,130.94,,,,,,
Crockett,Texas,207.99,,24.43,,,,,,
Coldwater,Michigan,1955.96,,,,,,,,
