city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
St.-Louis,Missouri,,4.12,1.01,,,,,,8.80,184.33,,8.75,28.43,1.05,680.72,317.54,49.54,180.97,20.85,91.19,,,13.57,,124.84,10.36,,,,,,,61.88,,,,,0.02,,267.81,,,2.75,59.71,,,,,,578.14,126.33,,4.86,4.91,25.66,,1.91,,,,,,,,,,,,,,,541.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspermont,Texas,165.27,,,,,,,,,699.40,,,,,226.35,188.02,,23.95,,,,,,,,,,,,,,,,159.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Oklahoma,137.28,2.88,12.48,40.96,,,,5.12,2.56,,,,1.60,,635.20,,3.20,28.16,0.32,,,,,,128.32,,,15.68,,,,,,116.16,42.88,,16.96,,,,,,1.92,,,,,,250.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,,,,,,,,,,,,,,376.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux-City,Iowa,269.07,57.24,11.24,,,,,42.23,38.84,215.09,,,,48.69,,,27.78,95.92,,9.70,,,102.29,,75.80,31.23,,,15.21,,609.36,,,58.24,1.72,14.49,1.26,8.75,,,,156.45,7.57,13.24,,,,149.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steeleville,Illinois,118.44,20.26,,,,,,,1.56,230.65,,,27.53,,,,,140.26,,7.79,,,,,23.38,10.39,,231.17,,,268.57,,,109.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont,West-Virginia,410.49,0.76,,,,,10.44,2.56,,465.58,,,,,,130.57,,62.54,,13.38,,,,1.31,,7.61,,13.65,,,,,,82.83,,,,,,,,,,10.44,,,,,,,,,,,5.93,,0.71,,,,,,,,9.68,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.12,,,,,,,,,,,,,,,,,,,,,,
Springfield,Oregon,766.20,12.68,,,8.38,,27.58,25.79,,,,,65.55,,,,24.58,38.05,,51.43,,,,,,28.69,,72.24,,,488.85,,,,,,49.63,1.41,,,,,,,,,,,183.96,,,,,,,,,,,,,,861.06,,,50.78,,,,,,,,,,,,,,,,,,18.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eau-Claire,Wisconsin,163.93,6.18,26.23,25.58,11.00,,23.46,1.10,0.00,140.24,,,43.27,,,,29.16,,23.26,13.59,,,,,,6.66,8.37,116.94,16.96,16.73,619.76,,66.20,1.42,2.83,37.88,,0.29,,,,,,9.13,,4.29,,,,,,,,,,,,,,,,,,,,,,,0.12,41.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocatello,Idaho,198.63,1.17,23.96,,8.19,,8.78,0.79,7.68,208.61,,,46.97,1.64,,,,18.40,1.64,16.95,,,,,,6.16,4.71,97.23,14.46,,539.54,,,138.00,19.42,,1.43,,,,,,14.83,,62.33,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,,,,,56.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-Branch,New-Jersey,182.27,27.08,65.61,,0.10,24.73,9.13,,7.04,,,14.52,,,,,14.88,5.03,,45.57,,,426.37,,,,,153.04,,,1351.97,,,0.60,,1.59,,,,,,,,40.41,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absecon,New-Jersey,161.60,8.73,,1.81,,13.84,2.38,10.89,5.90,,,,19.28,,,,27.78,4.20,,17.24,,,,,,,,83.47,,,985.03,,,0.23,,,,,,,,,,,,1.70,,,,,,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett,Illinois,99.22,,52.18,,,,,,12.40,200.53,,,26.79,,,,46.60,36.88,,55.95,,,,,26.52,7.04,,157.77,,,406.75,,,,,11.46,,,,,,,,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Habra,California,,3.32,5.19,,21.95,,6.44,4.51,5.72,469.24,,0.03,27.85,30.60,,,,59.87,5.80,39.91,4.02,294.61,6.66,,,35.69,0.61,,,,269.28,,0.08,63.64,,31.91,21.91,,,185.33,9.14,258.06,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucumcari,New-Mexico,,,17.67,135.40,195.60,,,,7.40,369.63,,265.67,9.86,122.05,657.90,165.40,135.81,29.79,12.94,,,305.12,,,25.89,,,,,,,,,223.55,,,,,,266.28,114.24,,52.19,,,3.29,,,,,,,,,,,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,New-Mexico,338.10,,,,,,,3.06,,451.48,,,,,,23.49,,,3.06,,,,,,,,,,,,,,,214.50,,,,,,,,,,,,,,84.78,,,,,21.45,,,,,,,,,,,,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belleville,Illinois,223.41,26.19,10.61,,,,,,7.24,,,,28.63,,,,3.50,85.68,,38.36,,,,,20.59,13.42,,487.05,,,529.57,,,82.92,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallahassee,Florida,271.90,35.16,23.43,104.95,4.46,,,8.10,38.10,,,0.10,74.58,13.55,,,,117.29,,35.88,,,,,299.65,4.99,0.58,86.98,31.89,,203.74,,5.98,121.79,,20.10,,14.63,,,4.46,175.97,47.51,7.82,,,,,166.27,,,,,,,,,,,,,,1384.25,,,,132.69,,87.55,,,,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Luis,Arizona,103.63,13.63,2.33,,19.15,,0.32,,3.85,113.23,,,72.63,,221.26,,,11.53,2.33,18.78,,,,,,12.02,0.20,193.97,,,,,,36.23,39.28,1.84,8.71,,,,,,,2.19,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloxi,Mississippi,,1.00,5.22,801.42,,,102.29,,12.62,72.47,,248.49,0.65,,,,,61.02,2.58,8.24,,407.04,,693.61,,18.44,0.71,,,,395.94,18.54,,42.20,,,0.65,6.15,,75.72,,,,,,,,,,,,,,,31.38,,10.58,,,,,,,,,,,,,,128.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth-or-Consequences,New-Mexico,,83.09,11.47,,41.20,,30.59,,,,,135.58,8.00,,,141.14,14.08,,3.82,3.13,,,61.01,,,1.39,0.17,,,,,,,343.13,2.78,,,1.22,,,,248.74,514.86,,,44.67,,,168.96,,,,4.17,,,,0.70,,,,,,1149.49,,,34.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.60,,,,,,2916.91,83.78,,,,,,,,,,,,,,,,,,,,,,96.65,,,,,,,,,,,,,,
Oak-Grove,Missouri,171.23,,19.62,,,21.68,3.39,,20.22,178.49,,,25.31,,261.20,108.62,,,,15.02,,,,,,,,32.21,,,,,,,,,,,,,,,,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie,Maryland,66.35,0.05,20.80,,,,13.22,3.34,,55.13,,1.69,11.70,0.02,,,6.31,,1.19,2.27,,,4.09,,,13.10,2.71,,,,495.51,,,,,3.92,,,,35.49,,,,,,,,,,166.21,,,,,6.87,33.76,,,,,,,,,,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,Texas,,,,7.14,,,,1.02,3.40,,,,1.36,6.80,,,25.84,,,,,113.23,,,39.10,17.34,0.34,,,,674.26,,2.72,,,12.92,,0.34,,44.54,,214.89,,,,,,,,,,,42.50,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennett,Missouri,,4.66,3.47,,,12.58,4.76,,0.99,,,,,,442.74,4.95,,34.77,1.19,,,45.08,,,,,,,,,,,,1.09,,,,0.30,,,,,38.64,,,,,33.39,,,,,,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,Nevada,147.57,5.28,35.16,20.58,6.16,,9.28,2.50,10.12,240.35,,,18.58,2.14,,,7.51,105.13,27.71,75.92,,,,,,18.97,5.72,348.85,3.76,,257.97,,,,,79.94,0.38,,,,,16.98,,,,,3.35,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,,,,,,,,,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,Illinois,,,,,,,,,,212.50,,133.75,26.88,,,,17.50,64.38,,4.38,,193.75,,,83.13,7.50,,220.00,,,206.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texarkana,Texas,230.44,1.82,1.82,,0.83,46.01,8.89,1.51,2.64,262.03,,,,3.08,,,38.19,54.44,15.97,9.31,,,24.37,,,,,,,,445.71,,,14.62,,5.45,,,,7.10,,437.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean-City,Maryland,1987.18,2243.81,468.61,,14.40,,,47.09,90.29,896.03,,1.15,83.53,350.23,,,,,245.39,192.54,,,,,111.90,110.60,13.97,,140.26,,6208.24,,1.73,21.17,,460.69,,,,668.63,,,75.17,692.40,,,,,,168.49,,,,,213.71,158.27,46.08,,,,,,,,,,,,,,,,,,,,985.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst,Ohio,201.98,47.79,7.37,,,,,6.14,,,,,,15.63,,102.71,3.19,,17.35,8.84,,,,,,0.82,2.46,,,,,,,1.31,14.08,6.87,,4.26,,,,,,,,,,51.72,220.97,,51.07,,5.48,,,,1.39,,,,,,947.30,,,18.99,,,,,,,,,,,,,,,,,,,,,,,,,,389.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collinsville,Illinois,164.50,0.98,,,,,,,6.15,193.28,,,27.14,,,,73.33,49.35,,29.23,,,,,62.92,15.99,,689.90,,,220.05,,,61.00,,20.95,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerville,Georgia,205.61,19.79,,,,39.07,0.38,0.51,0.25,113.01,,,,1.14,,,,59.99,11.29,2.66,,,,,,,1.27,,,,302.38,,,124.30,,90.94,,,,12.30,,,,,,,,,,,,,,,,,4.44,,,,,,,,10.02,,,,,,,,,,,,,,56.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock-Hill,South-Carolina,310.63,3.12,24.78,,1.15,,,0.72,31.81,,,,15.31,0.64,,,,,151.20,10.39,,,,,98.98,7.78,45.06,29.39,,,377.28,,,102.99,,,,11.02,,,,,37.00,0.73,,,,,237.78,,,,,,83.15,,,,,,,,1472.51,,1.77,,,,,,,,4.58,,,,90.53,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdese,North-Carolina,242.53,0.23,65.61,,21.04,,,16.52,0.00,805.88,,,33.26,,,,15.84,,,10.63,,,,,42.31,,26.02,156.33,,,426.70,,,50.00,17.42,,,,,,,230.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.05,,,,,,,,,,,,,,,,,,,,,,,,
Titusville,Florida,,8.72,19.58,64.79,,,,0.52,10.61,165.35,,28.70,0.19,1.61,,,,118.05,67.43,27.67,9.49,,,,57.77,7.64,4.96,95.04,,,268.40,,,,,36.17,1.74,2.06,,,,,,,,,,,6.85,,,,,,,,,,,,,,,,,,,351.67,56.70,,,,,,,,,,15.69,,,,,23.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Ohio,340.30,6.75,20.10,82.24,3.81,,,4.22,19.07,213.75,,0.03,7.39,2.51,,50.61,24.88,15.48,8.27,24.35,,,,24.56,84.19,26.35,3.18,,,,,,1.91,0.02,,,2.77,7.65,,,,,,8.25,,8.97,,41.05,0.40,,,,,,,,,,,,,,,,,,,,,,,,91.46,,,,,,,,,,,,,,,,,,,973.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Bernardino,California,185.13,0.29,0.67,,9.17,,,6.39,5.26,193.17,,,,0.32,215.94,80.90,23.11,159.07,37.78,17.97,4.83,,18.02,,118.98,16.64,,,,,,,,2.34,,,21.38,0.21,,,,,,,,,,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacoma,Washington,487.42,88.65,15.09,40.41,11.09,,14.72,81.11,32.82,,,,54.58,15.33,,,28.13,84.51,214.45,44.48,40.82,,,,,42.30,6.87,,,,354.85,,10.31,311.69,274.58,61.05,,54.08,,62.25,,321.60,,35.88,,1.27,8.84,,434.49,,,,13.52,,14.13,,,,,,,,1920.57,,,,,,,112.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskogee,Oklahoma,133.86,23.06,,,,,,17.84,2.51,224.99,38.64,,1.27,4.20,774.15,7.11,26.78,63.43,,9.16,,,,,62.48,34.65,44.43,,,,,,,127.64,,,,5.17,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadron,Nebraska,150.41,76.68,34.37,111.79,,,,,17.18,188.29,,,99.78,93.87,340.72,200.30,,35.66,,135.62,,,,12.93,92.76,,,,,,,,,,,,,,,123.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlsbad,New-Mexico,288.43,59.01,6.11,,,,,,5.00,421.10,,,26.33,,1697.08,93.43,83.60,30.12,,14.99,,,,,80.34,18.58,,66.52,11.91,,,,3.19,175.55,6.41,,,1.91,,,,,2.65,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Oregon,283.16,186.36,40.83,,,,,,33.32,,,,61.60,14.47,,,180.96,319.91,15.08,28.34,,,5.36,,49.90,25.66,,,,,498.05,,95.11,,105.87,,0.85,,,105.92,,,6.86,,,,,,381.09,,,,,,,,,,,,,,747.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Illinois,,1.00,6.20,,1.26,19.28,4.14,,6.84,172.01,,,27.68,,,,57.60,76.89,,42.29,,62.30,,,,,,293.24,12.24,,448.22,,,10.65,,1.91,,,,,0.13,95.57,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-City,New-Jersey,,169.36,,,120.55,36.35,13.41,0.13,8.03,385.24,,,,,,,,,,145.56,,174.18,268.74,,,,,170.71,,,2277.48,,,0.13,,,,14.17,,,,,,21.57,,23.92,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Illinois,218.49,26.08,,,,,,,5.64,272.52,,,26.90,3.76,,,,,,36.18,,,,,15.62,4.23,,353.46,,,180.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott-Valley,Arizona,118.63,55.32,38.12,15.69,,,7.83,8.84,15.48,200.39,,,77.52,,495.78,35.88,,7.46,,25.95,,,,,,15.29,5.57,267.29,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,,,138.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,California,196.41,3.31,60.48,31.43,9.57,,,7.00,57.41,,,,25.18,0.82,382.65,180.93,20.50,98.00,21.38,15.57,10.70,,,,127.16,9.65,0.82,,10.27,,,,16.76,69.66,,0.00,26.06,1.93,,,,,2.40,18.89,,,,,1.51,,,,,,,,,,,,,,1099.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.91,,,,,,,,,,,,
Dallas,Georgia,223.30,12.73,23.75,,,23.32,3.50,,,275.95,,,,0.43,,,0.79,48.92,7.65,6.44,,,,118.09,,,,,,,101.78,,,,,,,0.72,,47.49,,,,,,,,,,,,,,,,,1.57,,,,,,,,15.52,,,,,,,,,,,,,,51.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Michigan,238.33,3.46,5.83,,7.85,23.68,9.70,3.58,2.38,230.88,,,7.10,87.83,,,,13.89,,24.94,,,115.89,,,,1.68,,,,351.32,,,,,24.41,4.89,,,105.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown,Ohio,326.99,92.14,3.50,,,,,36.86,11.06,458.63,,,,43.98,,51.57,,12.46,,143.46,,,93.95,,74.34,14.95,,,,,,,,73.13,,,,1.19,,48.60,,,,2.09,,,,,,,118.77,,,,4.51,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,797.89,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Texas,,,,2.55,,,,0.36,1.21,,,,0.49,2.43,,,9.23,,,,,40.42,,,13.96,6.19,0.12,,,,240.71,,0.97,,,4.61,,0.12,,15.90,,76.72,,,,,,,,,,,15.17,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildwood,New-Jersey,1077.61,459.38,62.65,,,141.07,30.52,82.86,16.17,1493.94,,,,203.31,,,55.38,8.89,,164.71,,,163.70,,,,,,,,3785.97,,,6.67,,35.97,,27.28,,402.38,,,,162.69,,0.20,,,,,,,,,,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attleboro,Massachusetts,216.86,47.51,0.07,,,,,,1.86,167.16,,7.96,24.32,129.36,,,28.21,,,29.98,,,6.70,,23.48,3.12,15.94,,,1.39,1669.81,,,56.94,,,,,,,13.09,,,,,,,,,,,,,,,,,,4.91,25.02,,,,947.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansboro,North-Carolina,,52.93,,,,,15.85,,0.00,,,32.30,24.52,,,,20.33,,55.02,,,,,,,,3.59,77.75,,,470.39,,,,38.58,,,14.95,,,,234.45,,,,,,,,,,,,,,,,,,,,,,,,,,86.12,,,23.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longview,Texas,173.54,3.36,15.93,,,,34.99,,,264.80,,,9.87,4.73,461.47,408.30,29.56,82.04,,19.65,,,75.84,,,44.20,0.36,,1.70,,,,,71.46,,,,0.42,,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,51.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,Maine,,40.06,152.27,,0.27,,,6.36,7.11,,,,,125.96,,,,5.19,,10.70,,,,,53.70,2.78,1.18,,,,2038.08,,,,8.66,,,2.67,,,0.70,,11.61,,17.97,,,,,,,,,,,,,,2.62,20.86,44.50,,,915.49,,,,166.07,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Cruces,New-Mexico,,49.27,9.51,,11.06,,5.36,2.68,,,,13.19,3.19,,951.56,152.38,21.12,26.17,8.12,7.39,,,,,,5.48,0.35,55.21,0.01,,,,,,,41.09,1.30,3.86,,,,,4.13,,,,,,162.64,,,,5.22,,,1.86,0.05,,,,,,,,,34.82,,138.97,,,,,,,,,21.19,,,,,,,,,,,,,11.73,,,,,200.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine,California,,150.66,39.41,4.67,3.74,,38.60,18.05,9.30,,,,,9.92,237.99,236.24,51.78,49.56,,34.12,16.11,141.92,,,,21.30,,,,,,,1.42,,,9.10,,14.02,1.18,,,,,,,,,25.09,,,,,,,,,,,,,,107.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
