id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
10411,33.33511775,-112.0715332,default,NocRoom Voice & Data,1502150399,"112°4'17.52""W, 33°20'6.42""N",,,Summit Road,Phoenix,Maricopa County,Arizona,United States,85042
14425,30.25765859,-97.80735254,atm,Coinme Bitcoin ATM,1530899508,"97°48'26.47""W, 30°15'27.57""N",,2901,South Capital of Texas Highway,Austin,Travis County,Texas,United States,78746
14427,29.96008421,-95.53901911,atm,Coinme Bitcoin ATM,1530909757,"95°32'20.47""W, 29°57'36.3""N",,2000,Willowbrook Drive,Houston,Harris County,Texas,United States,77070
17135,27.86254941,-101.124934,atm,La Esquina del Bitcoin,1553242162,"101°7'29.76""W, 27°51'45.18""N",,1396,Manuel Acuña,Sabinas,,Coahuila de Zaragoza,Mexico,26730
14430,30.2842334,-97.74472833,atm,Coinme Bitcoin ATM,1530910258,"97°44'41.02""W, 30°17'3.24""N",,2101,Rio Grande Street,Austin,Travis County,Texas,United States,78705
14432,33.0310094,-96.83242321,atm,Coinme Bitcoin ATM,1530910600,"96°49'56.72""W, 33°1'51.63""N",,6121,West Park Boulevard,Plano,Collin County,Texas,United States,75093
10428,40.72849867,-73.98358583,nightlife,Kavasutra Kava Bar,1502286360,"73°59'0.91""W, 40°43'42.6""N",,257,East 10th Street,New York,New York County,New York,United States,10009
10429,26.80730002,-80.06073654,nightlife,Kavasutra Kava Bar,1502286603,"80°3'38.65""W, 26°48'26.28""N",,442,Northlake Boulevard,North Palm Beach,Palm Beach County,Florida,United States,33408
10430,26.61654836,-80.05369306,nightlife,Kavasutra Kava Bar,1502286697,"80°3'13.3""W, 26°36'59.57""N",,506,Florida 802,Lake Worth,Palm Beach County,Florida,United States,33460
10431,26.45936454,-80.09497762,default,Kavasutra Kava Bar,1502286784,"80°5'41.92""W, 26°27'33.71""N",,,,Delray Beach,Palm Beach County,Florida,United States,33445
10432,26.11918419,-80.12902021,default,Kavasutra Kava Bar,1502286952,"80°7'44.47""W, 26°7'9.06""N",,1404,East Las Olas Boulevard,Fort Lauderdale,Broward County,Florida,United States,33301
10433,26.31426669,-80.08506417,default,Kavasutra Kava Bar,1502287148,"80°5'6.23""W, 26°18'51.36""N",,201,Southeast 15th Terrace,Deerfield Beach,Broward County,Florida,United States,33441
10435,40.75935051,-74.01961327,transport,LUXURY YACHT CHARTER,1502293577,"74°1'10.61""W, 40°45'33.66""N",,600,Harbor Boulevard,Weehawken,Hudson County,New Jersey,United States,7086
10437,39.73972824,-104.9710286,nightlife,Kavasutra Kava Bar,1502305186,"104°58'15.7""W, 39°44'23.02""N",,1238,East Colfax Avenue,Denver,Denver County,Colorado,United States,80218
10446,40.72524236,-74.32525635,trezor retailer,Little Satoshi,1502458770,"74°19'30.92""W, 40°43'30.87""N",,44,Chatham Road,,Essex County,New Jersey,United States,7078
10465,35.75734381,-78.65039349,shopping,Elite Sight and Sound Inc.,1502548413,"78°39'1.42""W, 35°45'26.44""N",,315,Hubert Street,Raleigh,Wake County,North Carolina,United States,27603
10469,33.76787466,-118.0072403,default,Notary Public,1502585924,"118°0'26.07""W, 33°46'4.35""N",,13369,Goldenwest Street,Westminster,Orange County,California,United States,92683
